date,Open,High,Low,Close,Adj Close,Volume
2011-12-07,15.63,15.63,15.63,15.63,15.63,15.63
2011-12-08,15.61,15.61,15.61,15.61,15.61,15.61
2011-12-09,15.95,15.95,15.95,15.95,15.95,15.95
2011-12-12,15.49,15.49,15.49,15.49,15.49,15.49
2011-12-13,15.4,15.4,15.4,15.4,15.4,15.4
2011-12-14,15.0,15.0,15.0,15.0,15.0,15.0
2011-12-15,15.17,15.17,15.17,15.17,15.17,15.17
2011-12-16,14.95,14.95,14.95,14.95,14.95,14.95
2011-12-19,14.61,14.61,14.61,14.61,14.61,14.61
2011-12-20,15.1,15.1,15.1,15.1,15.1,15.1
2011-12-21,15.72,15.72,15.72,15.72,15.72,15.72
2011-12-22,15.99,15.99,15.99,15.99,15.99,15.99
2011-12-23,16.2,16.2,16.2,16.2,16.2,16.2
2011-12-27,16.05,16.05,16.05,16.05,16.05,16.05
2011-12-28,15.77,15.77,15.77,15.77,15.77,15.77
2011-12-29,16.2,16.2,16.2,16.2,16.2,16.2
2011-12-30,16.18,16.18,16.18,16.18,16.18,16.18
2012-01-03,16.31,16.31,16.31,16.31,16.31,16.31
2012-01-04,15.79,15.79,15.79,15.79,15.79,15.79
2012-01-05,15.65,15.65,15.65,15.65,15.65,15.65
2012-01-06,15.54,15.54,15.54,15.54,15.54,15.54
2012-01-09,15.47,15.47,15.47,15.47,15.47,15.47
2012-01-10,15.52,15.52,15.52,15.52,15.52,15.52
2012-01-11,15.52,15.52,15.52,15.52,15.52,15.52
2012-01-12,15.71,15.71,15.71,15.71,15.71,15.71
2012-01-13,15.48,15.48,15.48,15.48,15.48,15.48
2012-01-17,15.48,15.48,15.48,15.48,15.48,15.48
2012-01-18,15.9,15.9,15.9,15.9,15.9,15.9
2012-01-19,16.09,16.09,16.09,16.09,16.09,16.09
2012-01-20,15.92,15.92,15.92,15.92,15.92,15.92
2012-01-23,15.69,15.69,15.69,15.69,15.69,15.69
2012-01-24,15.65,15.65,15.65,15.65,15.65,15.65
2012-01-25,15.58,15.58,15.58,15.58,15.58,15.58
2012-01-26,15.5,15.5,15.5,15.5,15.5,15.5
2012-01-27,15.76,15.76,15.76,15.76,15.76,15.76
2012-01-30,15.52,15.52,15.52,15.52,15.52,15.52
2012-01-31,15.48,15.48,15.48,15.48,15.48,15.48
2012-02-01,15.73,15.73,15.73,15.73,15.73,15.73
2012-02-02,15.75,15.75,15.75,15.75,15.75,15.75
2012-02-03,15.95,15.95,15.95,15.95,15.95,15.95
2012-02-06,15.77,15.77,15.77,15.77,15.77,15.77
2012-02-07,15.86,15.86,15.86,15.86,15.86,15.86
2012-02-08,15.77,15.77,15.77,15.77,15.77,15.77
2012-02-09,16.0,16.0,16.0,16.0,16.0,16.0
2012-02-10,16.13,16.13,16.13,16.13,16.13,16.13
2012-02-13,16.09,16.09,16.09,16.09,16.09,16.09
2012-02-14,15.27,15.27,15.27,15.27,15.27,15.27
2012-02-15,15.1,15.1,15.1,15.1,15.1,15.1
2012-02-16,15.34,15.34,15.34,15.34,15.34,15.34
2012-02-17,15.07,15.07,15.07,15.07,15.07,15.07
2012-02-21,14.84,14.84,14.84,14.84,14.84,14.84
2012-02-22,14.5,14.5,14.5,14.5,14.5,14.5
2012-02-23,14.79,14.79,14.79,14.79,14.79,14.79
2012-02-24,14.86,14.86,14.86,14.86,14.86,14.86
2012-02-27,14.91,14.91,14.91,14.91,14.91,14.91
2012-02-28,14.9,14.9,14.9,14.9,14.9,14.9
2012-02-29,14.81,14.81,14.81,14.81,14.81,14.81
2012-03-01,14.89,14.89,14.89,14.89,14.89,14.89
2012-03-02,14.69,14.69,14.69,14.69,14.69,14.69
2012-03-05,14.66,14.66,14.66,14.66,14.66,14.66
2012-03-06,14.45,14.45,14.45,14.45,14.45,14.45
2012-03-07,14.66,14.66,14.66,14.66,14.66,14.66
2012-03-08,14.61,14.61,14.61,14.61,14.61,14.61
2012-03-09,14.65,14.65,14.65,14.65,14.65,14.65
2012-03-12,14.52,14.52,14.52,14.52,14.52,14.52
2012-03-13,14.52,14.52,14.52,14.52,14.52,14.52
2012-03-14,14.61,14.61,14.61,14.61,14.61,14.61
2012-03-15,14.85,14.85,14.85,14.85,14.85,14.85
2012-03-16,15.14,15.14,15.14,15.14,15.14,15.14
2012-03-19,15.16,15.16,15.16,15.16,15.16,15.16
2012-03-20,15.41,15.41,15.41,15.41,15.41,15.41
2012-03-21,15.61,15.61,15.61,15.61,15.61,15.61
2012-03-22,15.5,15.5,15.5,15.5,15.5,15.5
2012-03-23,15.38,15.38,15.38,15.38,15.38,15.38
2012-03-26,15.54,15.54,15.54,15.54,15.54,15.54
2012-03-27,15.44,15.44,15.44,15.44,15.44,15.44
2012-03-28,15.33,15.33,15.33,15.33,15.33,15.33
2012-03-29,15.29,15.29,15.29,15.29,15.29,15.29
2012-03-30,15.24,15.24,15.24,15.24,15.24,15.24
2012-04-02,15.44,15.44,15.44,15.44,15.44,15.44
2012-04-03,15.21,15.21,15.21,15.21,15.21,15.21
2012-04-04,15.26,15.26,15.26,15.26,15.26,15.26
2012-04-05,15.07,15.07,15.07,15.07,15.07,15.07
2012-04-09,15.13,15.13,15.13,15.13,15.13,15.13
2012-04-10,15.02,15.02,15.02,15.02,15.02,15.02
2012-04-11,14.88,14.88,14.88,14.88,14.88,14.88
2012-04-12,15.09,15.09,15.09,15.09,15.09,15.09
2012-04-13,14.89,14.89,14.89,14.89,14.89,14.89
2012-04-16,14.79,14.79,14.79,14.79,14.79,14.79
2012-04-17,15.04,15.04,15.04,15.04,15.04,15.04
2012-04-18,15.5,15.5,15.5,15.5,15.5,15.5
2012-04-19,15.39,15.39,15.39,15.39,15.39,15.39
2012-04-20,15.61,15.61,15.61,15.61,15.61,15.61
2012-04-23,15.36,15.36,15.36,15.36,15.36,15.36
2012-04-24,15.43,15.43,15.43,15.43,15.43,15.43
2012-04-25,15.5,15.5,15.5,15.5,15.5,15.5
2012-04-26,15.54,15.54,15.54,15.54,15.54,15.54
2012-04-27,15.57,15.57,15.57,15.57,15.57,15.57
2012-04-30,15.52,15.52,15.52,15.52,15.52,15.52
2012-05-01,15.7,15.7,15.7,15.7,15.7,15.7
2012-05-02,15.68,15.68,15.68,15.68,15.68,15.68
2012-05-03,15.41,15.41,15.41,15.41,15.41,15.41
2012-05-04,15.2,15.2,15.2,15.2,15.2,15.2
2012-05-07,15.36,15.36,15.36,15.36,15.36,15.36
2012-05-08,15.39,15.39,15.39,15.39,15.39,15.39
2012-05-09,15.3,15.3,15.3,15.3,15.3,15.3
2012-05-10,15.43,15.43,15.43,15.43,15.43,15.43
2012-05-11,15.23,15.23,15.23,15.23,15.23,15.23
2012-05-14,15.52,15.52,15.52,15.52,15.52,15.52
2012-05-15,15.39,15.39,15.39,15.39,15.39,15.39
2012-05-16,15.29,15.29,15.29,15.29,15.29,15.29
2012-05-17,14.86,14.86,14.86,14.86,14.86,14.86
2012-05-18,15.36,15.36,15.36,15.36,15.36,15.36
2012-05-21,15.57,15.57,15.57,15.57,15.57,15.57
2012-05-22,15.25,15.25,15.25,15.25,15.25,15.25
2012-05-23,15.36,15.36,15.36,15.36,15.36,15.36
2012-05-24,15.29,15.29,15.29,15.29,15.29,15.29
2012-05-25,15.36,15.36,15.36,15.36,15.36,15.36
2012-05-29,15.5,15.5,15.5,15.5,15.5,15.5
2012-05-30,15.29,15.29,15.29,15.29,15.29,15.29
2012-05-31,15.34,15.34,15.34,15.34,15.34,15.34
2012-06-01,14.95,14.95,14.95,14.95,14.95,14.95
2012-06-04,15.02,15.02,15.02,15.02,15.02,15.02
2012-06-05,15.11,15.11,15.11,15.11,15.11,15.11
2012-06-06,15.34,15.34,15.34,15.34,15.34,15.34
2012-06-07,15.36,15.36,15.36,15.36,15.36,15.36
2012-06-08,15.64,15.64,15.64,15.64,15.64,15.64
2012-06-11,15.34,15.34,15.34,15.34,15.34,15.34
2012-06-12,15.46,15.46,15.46,15.46,15.46,15.46
2012-06-13,15.3,15.3,15.3,15.3,15.3,15.3
2012-06-14,15.36,15.36,15.36,15.36,15.36,15.36
2012-06-15,15.38,15.38,15.38,15.38,15.38,15.38
2012-06-18,15.48,15.48,15.48,15.48,15.48,15.48
2012-06-19,15.63,15.63,15.63,15.63,15.63,15.63
2012-06-20,15.73,15.73,15.73,15.73,15.73,15.73
2012-06-21,15.48,15.48,15.48,15.48,15.48,15.48
2012-06-22,15.61,15.61,15.61,15.61,15.61,15.61
2012-06-25,15.43,15.43,15.43,15.43,15.43,15.43
2012-06-26,15.36,15.36,15.36,15.36,15.36,15.36
2012-06-27,15.52,15.52,15.52,15.52,15.52,15.52
2012-06-28,15.41,15.41,15.41,15.41,15.41,15.41
2012-06-29,15.82,15.82,15.82,15.82,15.82,15.82
2012-07-02,15.82,15.82,15.82,15.82,15.82,15.82
2012-07-03,15.98,15.98,15.98,15.98,15.98,15.98
2012-07-05,15.84,15.84,15.84,15.84,15.84,15.84
2012-07-06,15.79,15.79,15.79,15.79,15.79,15.79
2012-07-09,15.77,15.77,15.77,15.77,15.77,15.77
2012-07-10,15.75,15.75,15.75,15.75,15.75,15.75
2012-07-11,15.82,15.82,15.82,15.82,15.82,15.82
2012-07-12,15.71,15.71,15.71,15.71,15.71,15.71
2012-07-13,15.75,15.75,15.75,15.75,15.75,15.75
2012-07-16,15.68,15.68,15.68,15.68,15.68,15.68
2012-07-17,15.59,15.59,15.59,15.59,15.59,15.59
2012-07-18,15.7,15.7,15.7,15.7,15.7,15.7
2012-07-19,15.77,15.77,15.77,15.77,15.77,15.77
2012-07-20,15.93,15.93,15.93,15.93,15.93,15.93
2012-07-23,15.79,15.79,15.79,15.79,15.79,15.79
2012-07-24,15.39,15.39,15.39,15.39,15.39,15.39
2012-07-25,15.5,15.5,15.5,15.5,15.5,15.5
2012-07-26,15.79,15.79,15.79,15.79,15.79,15.79
2012-07-27,16.13,16.13,16.13,16.13,16.13,16.13
2012-07-30,15.96,15.96,15.96,15.96,15.96,15.96
2012-07-31,15.84,15.84,15.84,15.84,15.84,15.84
2012-08-01,16.01,16.01,16.01,16.01,16.01,16.01
2012-08-02,15.75,15.75,15.75,15.75,15.75,15.75
2012-08-03,15.96,15.96,15.96,15.96,15.96,15.96
2012-08-06,16.04,16.04,16.04,16.04,16.04,16.04
2012-08-07,16.2,16.2,16.2,16.2,16.2,16.2
2012-08-08,16.16,16.16,16.16,16.16,16.16,16.16
2012-08-09,16.01,16.01,16.01,16.01,16.01,16.01
2012-08-10,15.16,15.16,15.16,15.16,15.16,15.16
2012-08-13,15.02,15.02,15.02,15.02,15.02,15.02
2012-08-14,14.71,14.71,14.71,14.71,14.71,14.71
2012-08-15,14.77,14.77,14.77,14.77,14.77,14.77
2012-08-16,14.98,14.98,14.98,14.98,14.98,14.98
2012-08-17,15.0,15.0,15.0,15.0,15.0,15.0
2012-08-20,14.96,14.96,14.96,14.96,14.96,14.96
2012-08-21,14.96,14.96,14.96,14.96,14.96,14.96
2012-08-22,14.89,14.89,14.89,14.89,14.89,14.89
2012-08-23,14.86,14.86,14.86,14.86,14.86,14.86
2012-08-24,14.93,14.93,14.93,14.93,14.93,14.93
2012-08-27,14.84,14.84,14.84,14.84,14.84,14.84
2012-08-28,14.73,14.73,14.73,14.73,14.73,14.73
2012-08-29,14.86,14.86,14.86,14.86,14.86,14.86
2012-08-30,14.7,14.7,14.7,14.7,14.7,14.7
2012-08-31,14.64,14.64,14.64,14.64,14.64,14.64
2012-09-04,14.93,14.93,14.93,14.93,14.93,14.93
2012-09-05,15.11,15.11,15.11,15.11,15.11,15.11
2012-09-06,15.11,15.11,15.11,15.11,15.11,15.11
2012-09-07,15.23,15.23,15.23,15.23,15.23,15.23
2012-09-10,15.14,15.14,15.14,15.14,15.14,15.14
2012-09-11,15.16,15.16,15.16,15.16,15.16,15.16
2012-09-12,15.38,15.38,15.38,15.38,15.38,15.38
2012-09-13,15.63,15.63,15.63,15.63,15.63,15.63
2012-09-14,15.77,15.77,15.77,15.77,15.77,15.77
2012-09-17,15.68,15.68,15.68,15.68,15.68,15.68
2012-09-18,15.75,15.75,15.75,15.75,15.75,15.75
2012-09-19,15.88,15.88,15.88,15.88,15.88,15.88
2012-09-20,15.75,15.75,15.75,15.75,15.75,15.75
2012-09-21,15.7,15.7,15.7,15.7,15.7,15.7
2012-09-24,16.0,16.0,16.0,16.0,16.0,16.0
2012-09-25,15.7,15.7,15.7,15.7,15.7,15.7
2012-09-26,15.61,15.61,15.61,15.61,15.61,15.61
2012-09-27,16.09,16.09,16.09,16.09,16.09,16.09
2012-09-28,16.0,16.0,16.0,16.0,16.0,16.0
2012-10-01,15.8,15.8,15.8,15.8,15.8,15.8
2012-10-02,15.93,15.93,15.93,15.93,15.93,15.93
2012-10-03,16.21,16.21,16.21,16.21,16.21,16.21
2012-10-04,16.26,16.26,16.26,16.26,16.26,16.26
2012-10-05,16.13,16.13,16.13,16.13,16.13,16.13
2012-10-08,16.05,16.05,16.05,16.05,16.05,16.05
2012-10-09,15.89,15.89,15.89,15.89,15.89,15.89
2012-10-10,15.84,15.84,15.84,15.84,15.84,15.84
2012-10-11,15.96,15.96,15.96,15.96,15.96,15.96
2012-10-12,15.89,15.89,15.89,15.89,15.89,15.89
2012-10-15,15.7,15.7,15.7,15.7,15.7,15.7
2012-10-16,15.91,15.91,15.91,15.91,15.91,15.91
2012-10-17,16.09,16.09,16.09,16.09,16.09,16.09
2012-10-18,16.06,16.06,16.06,16.06,16.06,16.06
2012-10-19,15.84,15.84,15.84,15.84,15.84,15.84
2012-10-22,15.77,15.77,15.77,15.77,15.77,15.77
2012-10-23,16.71,16.71,16.71,16.71,16.71,16.71
2012-10-24,16.55,16.55,16.55,16.55,16.55,16.55
