Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus,MomentumStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
31,spx-1950-2018,16,2009-01-26 23:59:59.999989,832.5,852.53,827.69,836.57,6039940000.0,0.0,MeanReversionStrategy,16,733433.9999999999,SimpleMovingAverage,16,865.9259999999999,StdDev,16,38.179322291875735,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,,MomentumStrategy,15,733430.9999999999,MACD,15,,,CrossOver,15,,CrossDown,15,,ATR,15,27.523571428571447,SMA,15,,Broker,15,100000.0,100000.0,BuySell,15,,,Trades,15,,
32,spx-1950-2018,16,2009-01-26 23:59:59.999989,832.5,852.53,827.69,836.57,6039940000.0,0.0,MeanReversionStrategy,16,733433.9999999999,SimpleMovingAverage,16,865.9259999999999,StdDev,16,38.179322291875735,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,,MomentumStrategy,16,733433.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,27.331887755102052,SMA,16,,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
33,spx-1950-2018,17,2009-01-27 23:59:59.999989,837.3,850.45,835.4,845.71,5353260000.0,0.0,MeanReversionStrategy,17,733434.9999999999,SimpleMovingAverage,17,860.4766666666667,StdDev,17,34.682334920757846,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,,MomentumStrategy,16,733433.9999999999,MACD,16,,,CrossOver,16,,CrossDown,16,,ATR,16,27.331887755102052,SMA,16,,Broker,16,100000.0,100000.0,BuySell,16,,,Trades,16,,
34,spx-1950-2018,17,2009-01-27 23:59:59.999989,837.3,850.45,835.4,845.71,5353260000.0,0.0,MeanReversionStrategy,17,733434.9999999999,SimpleMovingAverage,17,860.4766666666667,StdDev,17,34.682334920757846,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,,MomentumStrategy,17,733434.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,ATR,17,26.454610058309054,SMA,17,,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
35,spx-1950-2018,18,2009-01-28 23:59:59.999989,845.73,877.86,845.73,874.09,6199180000.0,0.0,MeanReversionStrategy,18,733435.9999999999,SimpleMovingAverage,18,856.436,StdDev,18,28.83779945372647,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,,MomentumStrategy,17,733434.9999999999,MACD,17,,,CrossOver,17,,CrossDown,17,,ATR,17,26.454610058309054,SMA,17,,Broker,17,100000.0,100000.0,BuySell,17,,,Trades,17,,
36,spx-1950-2018,18,2009-01-28 23:59:59.999989,845.73,877.86,845.73,874.09,6199180000.0,0.0,MeanReversionStrategy,18,733435.9999999999,SimpleMovingAverage,18,856.436,StdDev,18,28.83779945372647,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,,MomentumStrategy,18,733435.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,ATR,18,26.861423625572694,SMA,18,,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
37,spx-1950-2018,19,2009-01-29 23:59:59.999989,868.89,868.89,844.15,845.14,5067060000.0,0.0,MeanReversionStrategy,19,733436.9999999999,SimpleMovingAverage,19,852.3353333333333,StdDev,19,25.59713782611206,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,,MomentumStrategy,18,733435.9999999999,MACD,18,,,CrossOver,18,,CrossDown,18,,ATR,18,26.861423625572694,SMA,18,,Broker,18,100000.0,100000.0,BuySell,18,,,Trades,18,,
38,spx-1950-2018,19,2009-01-29 23:59:59.999989,868.89,868.89,844.15,845.14,5067060000.0,0.0,MeanReversionStrategy,19,733436.9999999999,SimpleMovingAverage,19,852.3353333333333,StdDev,19,25.59713782611206,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,,MomentumStrategy,19,733436.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,ATR,19,27.08132193803179,SMA,19,,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
39,spx-1950-2018,20,2009-01-30 23:59:59.999989,845.69,851.66,821.67,825.88,5350580000.0,0.0,MeanReversionStrategy,20,733437.9999999999,SimpleMovingAverage,20,846.7453333333334,StdDev,20,21.237101769203672,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,,MomentumStrategy,19,733436.9999999999,MACD,19,,,CrossOver,19,,CrossDown,19,,ATR,19,27.08132193803179,SMA,19,,Broker,19,100000.0,100000.0,BuySell,19,,,Trades,19,,
40,spx-1950-2018,20,2009-01-30 23:59:59.999989,845.69,851.66,821.67,825.88,5350580000.0,0.0,MeanReversionStrategy,20,733437.9999999999,SimpleMovingAverage,20,846.7453333333334,StdDev,20,21.237101769203672,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,,MomentumStrategy,20,733437.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,ATR,20,27.289084656743807,SMA,20,,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
41,spx-1950-2018,21,2009-02-02 23:59:59.999989,823.09,830.78,812.87,825.44,5673270000.0,0.0,MeanReversionStrategy,21,733440.9999999999,SimpleMovingAverage,21,842.418,StdDev,21,18.324629036720424,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,,MomentumStrategy,20,733437.9999999999,MACD,20,,,CrossOver,20,,CrossDown,20,,ATR,20,27.289084656743807,SMA,20,,Broker,20,100000.0,100000.0,BuySell,20,,,Trades,20,,
42,spx-1950-2018,21,2009-02-02 23:59:59.999989,823.09,830.78,812.87,825.44,5673270000.0,0.0,MeanReversionStrategy,21,733440.9999999999,SimpleMovingAverage,21,842.418,StdDev,21,18.324629036720424,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,,MomentumStrategy,21,733440.9999999999,MACD,21,,,CrossOver,21,,CrossDown,21,,ATR,21,26.619150038404964,SMA,21,,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,
43,spx-1950-2018,22,2009-02-03 23:59:59.999989,825.69,842.6,821.98,838.51,5886310000.0,0.0,MeanReversionStrategy,22,733441.9999999999,SimpleMovingAverage,22,840.3013333333333,StdDev,22,16.752655059886667,Broker,22,100000.0,100000.0,BuySell,22,,,Trades,22,,,MomentumStrategy,21,733440.9999999999,MACD,21,,,CrossOver,21,,CrossDown,21,,ATR,21,26.619150038404964,SMA,21,,Broker,21,100000.0,100000.0,BuySell,21,,,Trades,21,,
44,spx-1950-2018,22,2009-02-03 23:59:59.999989,825.69,842.6,821.98,838.51,5886310000.0,0.0,MeanReversionStrategy,22,733441.9999999999,SimpleMovingAverage,22,840.3013333333333,StdDev,22,16.752655059886667,Broker,22,100000.0,100000.0,BuySell,22,,,Trades,22,,,MomentumStrategy,22,733441.9999999999,MACD,22,,,CrossOver,22,,CrossDown,22,,ATR,22,26.19063932137604,SMA,22,,Broker,22,100000.0,100000.0,BuySell,22,,,Trades,22,,
