Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,TheStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
630,spx-2013-2018,630,2015-08-11 23:59:59.999989,2102.66,2102.66,2076.49,2084.07,3708880000.0,0.0,TheStrategy,630,735821.9999999999,MACD,630,-1.8351769009700547,-0.36744098664237634,CrossOver,630,0.0,CrossDown,630,0.0,ATR,630,19.86736289133028,SMA,630,2092.495,Broker,630,9996.180000000008,9996.180000000008,BuySell,630,,,Trades,630,,
631,spx-2013-2018,631,2015-08-12 23:59:59.999989,2081.1,2089.06,2052.09,2086.05,4269130000.0,0.0,TheStrategy,631,735822.9999999999,MACD,631,-2.302921087875802,-0.7545370068890616,CrossOver,631,0.0,CrossDown,631,0.0,ATR,631,21.088979827663817,SMA,631,2093.259666666667,Broker,631,9996.180000000008,9996.180000000008,BuySell,631,,,Trades,631,,
632,spx-2013-2018,632,2015-08-13 23:59:59.999989,2086.19,2092.93,2078.26,2083.39,3221300000.0,0.0,TheStrategy,632,735823.9999999999,MACD,632,-2.8553369484102404,-1.1746969951932975,CrossOver,632,0.0,CrossDown,632,0.0,ATR,632,20.630481268544944,SMA,632,2093.458666666667,Broker,632,9996.180000000008,9996.180000000008,BuySell,632,,,Trades,632,,
633,spx-2013-2018,633,2015-08-14 23:59:59.999989,2083.15,2092.45,2080.61,2091.54,2795590000.0,0.0,TheStrategy,633,735824.9999999999,MACD,633,-2.605459495001014,-1.4608494951548407,CrossOver,633,0.0,CrossDown,633,0.0,ATR,633,20.00258974936314,SMA,633,2093.9506666666666,Broker,633,9996.180000000008,9996.180000000008,BuySell,633,,,Trades,633,,
634,spx-2013-2018,634,2015-08-17 23:59:59.999989,2089.7,2102.87,2079.3,2102.44,2867690000.0,0.0,TheStrategy,634,735827.9999999999,MACD,634,-1.5104790458058233,-1.4707754052850375,CrossOver,634,0.0,CrossDown,634,0.0,ATR,634,20.25740476726575,SMA,634,2095.0733333333333,Broker,634,9996.180000000008,9996.180000000008,BuySell,634,,,Trades,634,,
635,spx-2013-2018,635,2015-08-18 23:59:59.999989,2101.99,2103.47,2094.14,2096.92,2949990000.0,0.0,TheStrategy,635,735828.9999999999,MACD,635,-1.0757168244040258,-1.3917636891088352,CrossOver,635,1.0,CrossDown,635,0.0,ATR,635,19.47687585531819,SMA,635,2095.5926666666664,Broker,635,9996.180000000008,9996.180000000008,BuySell,635,,,Trades,635,,
636,spx-2013-2018,636,2015-08-19 23:59:59.999989,2095.69,2096.17,2070.53,2079.61,3512920000.0,0.0,TheStrategy,636,735829.9999999999,MACD,636,-2.103686972030573,-1.5341483456931828,CrossOver,636,-1.0,CrossDown,636,1.0,ATR,636,19.970670437081168,SMA,636,2096.6903333333335,Broker,636,9996.180000000008,9996.180000000008,BuySell,636,,,Trades,636,,
637,spx-2013-2018,637,2015-08-20 23:59:59.999989,2076.61,2076.61,2035.73,2035.73,3922470000.0,0.0,TheStrategy,637,735830.9999999999,MACD,637,-6.38550190852402,-2.5044190582593506,CrossOver,637,0.0,CrossDown,637,0.0,ATR,637,21.678479691575376,SMA,637,2096.1710000000003,Broker,637,12072.790000000008,10037.060000000009,BuySell,637,,2076.61,Trades,637,,
638,spx-2013-2018,638,2015-08-21 23:59:59.999989,2034.08,2034.08,1970.89,1970.89,5018240000.0,0.0,TheStrategy,638,735831.9999999999,MACD,638,-14.83985262049464,-4.9715057707064085,CrossOver,638,0.0,CrossDown,638,0.0,ATR,638,24.761445427891413,SMA,638,2092.6466666666665,Broker,638,12072.790000000008,10101.900000000009,BuySell,638,,,Trades,638,,
639,spx-2013-2018,639,2015-08-24 23:59:59.999989,1965.15,1965.15,1867.01,1893.21,6612690000.0,0.0,TheStrategy,639,735834.9999999999,MACD,639,-27.49121169545151,-9.47544695565543,CrossOver,639,0.0,CrossDown,639,0.0,ATR,639,30.412770754470607,SMA,639,2085.7670000000003,Broker,639,12072.790000000008,10179.580000000009,BuySell,639,,,Trades,639,,
