Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,MomentumStrategy2,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
2054,spx-1950-2018,2054,2017-03-01 23:59:59.999989,2380.13,2400.98,2380.13,2395.96,4345180000.0,0.0,MomentumStrategy2,2054,736389.9999999999,MACD,2054,-26.434414209968054,-23.109598164688784,CrossOver,2054,0.0,CrossDown,2054,0.0,Broker,2054,109969.8057973185,99588.11185441878,BuySell,2054,,,Trades,2054,,
2055,spx-1950-2018,2055,2017-03-02 23:59:59.999989,2394.75,2394.75,2380.17,2381.92,3821320000.0,0.0,MomentumStrategy2,2055,736390.9999999999,MACD,2055,-26.467525895819563,-23.781183710914938,CrossOver,2055,0.0,CrossDown,2055,0.0,Broker,2055,109969.8057973185,99648.94717009946,BuySell,2055,,,Trades,2055,,
2056,spx-1950-2018,2056,2017-03-03 23:59:59.999989,2380.92,2383.89,2375.39,2383.12,3555260000.0,0.0,MomentumStrategy2,2056,736391.9999999999,MACD,2056,-26.2875703688278,-24.28246104249751,CrossOver,2056,0.0,CrossDown,2056,0.0,Broker,2056,109969.8057973185,99643.74757046864,BuySell,2056,,,Trades,2056,,
2057,spx-1950-2018,2057,2017-03-06 23:59:59.999989,2375.23,2378.8,2367.98,2375.31,3232700000.0,0.0,MomentumStrategy2,2057,736394.9999999999,MACD,2057,-25.22398617681074,-24.47076606936016,CrossOver,2057,0.0,CrossDown,2057,0.0,Broker,2057,109969.8057973185,99677.58829806595,BuySell,2057,,,Trades,2057,,
2058,spx-1950-2018,2058,2017-03-07 23:59:59.999989,2370.74,2375.12,2365.51,2368.39,3518390000.0,0.0,MomentumStrategy2,2058,736395.9999999999,MACD,2058,-23.551218092731233,-24.286856474034376,CrossOver,2058,1.0,CrossDown,2058,0.0,Broker,2058,109969.8057973185,99707.57265593705,BuySell,2058,,,Trades,2058,,
2059,spx-1950-2018,2059,2017-03-08 23:59:59.999989,2369.81,2373.09,2361.01,2362.98,3812100000.0,0.0,MomentumStrategy2,2059,736396.9999999999,MACD,2059,-21.54068790614201,-23.737622760455906,CrossOver,2059,0.0,CrossDown,2059,0.0,Broker,2059,89695.42416220893,99672.58164049588,BuySell,2059,2369.81,,Trades,2059,,-249.3208022982229
2060,spx-1950-2018,2060,2017-03-09 23:59:59.999989,2363.49,2369.08,2354.54,2364.87,3716340000.0,0.0,MomentumStrategy2,2060,736397.9999999999,MACD,2060,-19.870777498914777,-22.96425370814768,CrossOver,2060,0.0,CrossDown,2060,0.0,Broker,2060,89695.42416220893,99680.56174512391,BuySell,2060,,,Trades,2060,,
2061,spx-1950-2018,2061,2017-03-10 23:59:59.999989,2372.52,2376.86,2363.04,2372.6,3432950000.0,0.0,MomentumStrategy2,2061,736398.9999999999,MACD,2061,-18.952633704091113,-22.161929707336366,CrossOver,2061,0.0,CrossDown,2061,0.0,Broker,2061,89695.42416220893,99713.19995082483,BuySell,2061,,,Trades,2061,,
2062,spx-1950-2018,2062,2017-03-13 23:59:59.999989,2371.56,2374.42,2368.52,2373.47,3133900000.0,0.0,MomentumStrategy2,2062,736401.9999999999,MACD,2062,-18.086707554823988,-21.34688527683389,CrossOver,2062,0.0,CrossDown,2062,0.0,Broker,2062,89695.42416220893,99716.87333232028,BuySell,2062,,,Trades,2062,,
2063,spx-1950-2018,2063,2017-03-14 23:59:59.999989,2368.55,2368.55,2358.18,2365.45,3172630000.0,0.0,MomentumStrategy2,2063,736402.9999999999,MACD,2063,-16.562386981411237,-20.38998561774936,CrossOver,2063,0.0,CrossDown,2063,0.0,Broker,2063,89695.42416220893,99683.01066612087,BuySell,2063,,,Trades,2063,,
