Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI_Oversold,len,oversold,RSI_Overbought,len,overbought,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
50,10dORHV,50,2010-03-16 00:00:00,,,,10.41,,,stockpx,50,2010-03-16 00:00:00,,,,29.34,,,HVStrategy,50,733847.0,RSI_Oversold,50,0.0,RSI_Overbought,50,,Broker,50,100001.52463,100001.52463,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,10dORHV,51,2010-03-17 00:00:00,,,,11.0,,,stockpx,51,2010-03-17 00:00:00,,,,29.59,,,HVStrategy,51,733848.0,RSI_Oversold,51,0.0,RSI_Overbought,51,,Broker,51,100001.52463,100001.52463,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,10dORHV,52,2010-03-18 00:00:00,,,,10.52,,,stockpx,52,2010-03-18 00:00:00,,,,29.6,,,HVStrategy,52,733849.0,RSI_Oversold,52,0.0,RSI_Overbought,52,,Broker,52,100001.52463,100001.52463,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,10dORHV,53,2010-03-19 00:00:00,,,,9.83,,,stockpx,53,2010-03-19 00:00:00,,,,29.56,,,HVStrategy,53,733850.0,RSI_Oversold,53,0.0,RSI_Overbought,53,,Broker,53,100001.52463,100001.52463,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,10dORHV,54,2010-03-22 00:00:00,,,,10.58,,,stockpx,54,2010-03-22 00:00:00,,,,29.6,,,HVStrategy,54,733853.0,RSI_Oversold,54,0.0,RSI_Overbought,54,,Broker,54,100001.52463,100001.52463,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,10dORHV,55,2010-03-23 00:00:00,,,,10.49,,,stockpx,55,2010-03-23 00:00:00,,,,29.85,,,HVStrategy,55,733854.0,RSI_Oversold,55,0.0,RSI_Overbought,55,,Broker,55,100001.52463,100001.52463,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,10dORHV,56,2010-03-24 00:00:00,,,,10.54,,,stockpx,56,2010-03-24 00:00:00,,,,29.68,,,HVStrategy,56,733855.0,RSI_Oversold,56,0.0,RSI_Overbought,56,,Broker,56,100001.52463,100001.52463,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,10dORHV,57,2010-03-25 00:00:00,,,,12.79,,,stockpx,57,2010-03-25 00:00:00,,,,30.05,,,HVStrategy,57,733856.0,RSI_Oversold,57,0.0,RSI_Overbought,57,,Broker,57,100001.52463,100001.52463,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,10dORHV,58,2010-03-26 00:00:00,,,,15.52,,,stockpx,58,2010-03-26 00:00:00,,,,29.69,,,HVStrategy,58,733857.0,RSI_Oversold,58,0.0,RSI_Overbought,58,,Broker,58,100001.52463,100001.52463,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,10dORHV,59,2010-03-29 00:00:00,,,,15.65,,,stockpx,59,2010-03-29 00:00:00,,,,29.58,,,HVStrategy,59,733860.0,RSI_Oversold,59,0.0,RSI_Overbought,59,,Broker,59,100001.52463,100001.52463,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,10dORHV,60,2010-03-30 00:00:00,,,,16.08,,,stockpx,60,2010-03-30 00:00:00,,,,29.75,,,HVStrategy,60,733861.0,RSI_Oversold,60,0.0,RSI_Overbought,60,,Broker,60,100001.52463,100001.52463,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,10dORHV,61,2010-03-31 00:00:00,,,,17.19,,,stockpx,61,2010-03-31 00:00:00,,,,29.28,,,HVStrategy,61,733862.0,RSI_Oversold,61,0.0,RSI_Overbought,61,,Broker,61,100001.52463,100001.52463,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,10dORHV,62,2010-04-01 00:00:00,,,,17.35,,,stockpx,62,2010-04-01 00:00:00,,,,29.12,,,HVStrategy,62,733863.0,RSI_Oversold,62,0.0,RSI_Overbought,62,,Broker,62,100001.52463,100001.52463,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,10dORHV,63,2010-04-05 00:00:00,,,,17.93,,,stockpx,63,2010-04-05 00:00:00,,,,29.27,,,HVStrategy,63,733867.0,RSI_Oversold,63,0.0,RSI_Overbought,63,,Broker,63,100001.52463,100001.52463,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,10dORHV,64,2010-04-06 00:00:00,,,,17.71,,,stockpx,64,2010-04-06 00:00:00,,,,29.35,,,HVStrategy,64,733868.0,RSI_Oversold,64,0.0,RSI_Overbought,64,,Broker,64,100001.52463,100001.52463,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,10dORHV,65,2010-04-07 00:00:00,,,,17.83,,,stockpx,65,2010-04-07 00:00:00,,,,29.33,,,HVStrategy,65,733869.0,RSI_Oversold,65,0.0,RSI_Overbought,65,,Broker,65,100001.52463,100001.52463,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,10dORHV,66,2010-04-08 00:00:00,,,,18.86,,,stockpx,66,2010-04-08 00:00:00,,,,29.9,,,HVStrategy,66,733870.0,RSI_Oversold,66,0.0,RSI_Overbought,66,,Broker,66,100001.52463,100001.52463,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,10dORHV,67,2010-04-09 00:00:00,,,,18.25,,,stockpx,67,2010-04-09 00:00:00,,,,30.34,,,HVStrategy,67,733871.0,RSI_Oversold,67,0.0,RSI_Overbought,67,,Broker,67,100001.52463,100001.52463,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,10dORHV,68,2010-04-12 00:00:00,,,,16.24,,,stockpx,68,2010-04-12 00:00:00,,,,30.34,,,HVStrategy,68,733874.0,RSI_Oversold,68,0.0,RSI_Overbought,68,,Broker,68,100001.52463,100001.52463,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,10dORHV,69,2010-04-13 00:00:00,,,,15.62,,,stockpx,69,2010-04-13 00:00:00,,,,30.5,,,HVStrategy,69,733875.0,RSI_Oversold,69,0.0,RSI_Overbought,69,,Broker,69,100001.52463,100001.52463,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,10dORHV,70,2010-04-14 00:00:00,,,,15.98,,,stockpx,70,2010-04-14 00:00:00,,,,30.87,,,HVStrategy,70,733876.0,RSI_Oversold,70,0.0,RSI_Overbought,70,,Broker,70,100001.52463,100001.52463,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,10dORHV,71,2010-04-15 00:00:00,,,,14.7,,,stockpx,71,2010-04-15 00:00:00,,,,30.89,,,HVStrategy,71,733877.0,RSI_Oversold,71,0.0,RSI_Overbought,71,,Broker,71,100001.52463,100001.52463,BuySell,71,,,BuySell,71,,,DataTrades,71,,
72,10dORHV,72,2010-04-16 00:00:00,,,,14.44,,,stockpx,72,2010-04-16 00:00:00,,,,30.75,,,HVStrategy,72,733878.0,RSI_Oversold,72,0.0,RSI_Overbought,72,,Broker,72,100001.52463,100001.52463,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,10dORHV,73,2010-04-19 00:00:00,,,,14.07,,,stockpx,73,2010-04-19 00:00:00,,,,31.04,,,HVStrategy,73,733881.0,RSI_Oversold,73,0.0,RSI_Overbought,73,,Broker,73,100001.52463,100001.52463,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,10dORHV,74,2010-04-20 00:00:00,,,,14.45,,,stockpx,74,2010-04-20 00:00:00,,,,31.37,,,HVStrategy,74,733882.0,RSI_Oversold,74,0.0,RSI_Overbought,74,,Broker,74,100001.52463,100001.52463,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,10dORHV,75,2010-04-21 00:00:00,,,,14.53,,,stockpx,75,2010-04-21 00:00:00,,,,31.36,,,HVStrategy,75,733883.0,RSI_Oversold,75,0.0,RSI_Overbought,75,,Broker,75,100001.52463,100001.52463,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,10dORHV,76,2010-04-22 00:00:00,,,,13.24,,,stockpx,76,2010-04-22 00:00:00,,,,31.44,,,HVStrategy,76,733884.0,RSI_Oversold,76,0.0,RSI_Overbought,76,,Broker,76,100001.52463,100001.52463,BuySell,76,,,BuySell,76,,,DataTrades,76,,
77,10dORHV,77,2010-04-23 00:00:00,,,,11.29,,,stockpx,77,2010-04-23 00:00:00,,,,30.89,,,HVStrategy,77,733885.0,RSI_Oversold,77,0.0,RSI_Overbought,77,,Broker,77,100001.52463,100001.52463,BuySell,77,,,BuySell,77,,,DataTrades,77,,
78,10dORHV,78,2010-04-26 00:00:00,,,,11.22,,,stockpx,78,2010-04-26 00:00:00,,,,31.18,,,HVStrategy,78,733888.0,RSI_Oversold,78,0.0,RSI_Overbought,78,,Broker,78,100001.52463,100001.52463,BuySell,78,,,BuySell,78,,,DataTrades,78,,
79,10dORHV,79,2010-04-27 00:00:00,,,,11.5,,,stockpx,79,2010-04-27 00:00:00,,,,30.92,,,HVStrategy,79,733889.0,RSI_Oversold,79,0.0,RSI_Overbought,79,,Broker,79,100001.52463,100001.52463,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,10dORHV,80,2010-04-28 00:00:00,,,,10.13,,,stockpx,80,2010-04-28 00:00:00,,,,30.93,,,HVStrategy,80,733890.0,RSI_Oversold,80,0.0,RSI_Overbought,80,,Broker,80,100001.52463,100001.52463,BuySell,80,,,BuySell,80,,,DataTrades,80,,
81,10dORHV,81,2010-04-29 00:00:00,,,,13.34,,,stockpx,81,2010-04-29 00:00:00,,,,31.05,,,HVStrategy,81,733891.0,RSI_Oversold,81,0.0,RSI_Overbought,81,,Broker,81,100001.52463,100001.52463,BuySell,81,,,BuySell,81,,,DataTrades,81,,
82,10dORHV,82,2010-04-30 00:00:00,,,,15.67,,,stockpx,82,2010-04-30 00:00:00,,,,30.57,,,HVStrategy,82,733892.0,RSI_Oversold,82,0.0,RSI_Overbought,82,,Broker,82,100001.52463,100001.52463,BuySell,82,,,BuySell,82,,,DataTrades,82,,
83,10dORHV,83,2010-05-03 00:00:00,,,,15.85,,,stockpx,83,2010-05-03 00:00:00,,,,30.96,,,HVStrategy,83,733895.0,RSI_Oversold,83,0.0,RSI_Overbought,83,,Broker,83,100001.52463,100001.52463,BuySell,83,,,BuySell,83,,,DataTrades,83,,
84,10dORHV,84,2010-05-04 00:00:00,,,,18.13,,,stockpx,84,2010-05-04 00:00:00,,,,30.09,,,HVStrategy,84,733896.0,RSI_Oversold,84,0.0,RSI_Overbought,84,,Broker,84,100001.52463,100001.52463,BuySell,84,,,BuySell,84,,,DataTrades,84,,
85,10dORHV,85,2010-05-05 00:00:00,,,,18.02,,,stockpx,85,2010-05-05 00:00:00,,,,29.87,,,HVStrategy,85,733897.0,RSI_Oversold,85,0.0,RSI_Overbought,85,,Broker,85,100001.52463,100001.52463,BuySell,85,,,BuySell,85,,,DataTrades,85,,
86,10dORHV,86,2010-05-06 00:00:00,,,,24.54,,,stockpx,86,2010-05-06 00:00:00,,,,29.67,,,HVStrategy,86,733898.0,RSI_Oversold,86,0.0,RSI_Overbought,86,,Broker,86,100001.52463,100001.52463,BuySell,86,,,BuySell,86,,,DataTrades,86,,
87,10dORHV,87,2010-05-07 00:00:00,,,,27.58,,,stockpx,87,2010-05-07 00:00:00,,,,28.17,,,HVStrategy,87,733899.0,RSI_Oversold,87,1.0,RSI_Overbought,87,,Broker,87,100001.52463,100001.52463,BuySell,87,,,BuySell,87,,,DataTrades,87,,
88,10dORHV,88,2010-05-10 00:00:00,,,,30.45,,,stockpx,88,2010-05-10 00:00:00,,,,28.91,,,HVStrategy,88,733902.0,RSI_Oversold,88,0.0,RSI_Overbought,88,,Broker,88,99971.04418,100001.49418,BuySell,88,30.45,,BuySell,88,,,DataTrades,88,,
89,10dORHV,89,2010-05-11 00:00:00,,,,31.28,,,stockpx,89,2010-05-11 00:00:00,,,,29.02,,,HVStrategy,89,733903.0,RSI_Oversold,89,0.0,RSI_Overbought,89,,Broker,89,99971.04418,100002.32418,BuySell,89,,,BuySell,89,,,DataTrades,89,,
90,10dORHV,90,2010-05-12 00:00:00,,,,32.11,,,stockpx,90,2010-05-12 00:00:00,,,,29.5,,,HVStrategy,90,733904.0,RSI_Oversold,90,0.0,RSI_Overbought,90,,Broker,90,99971.04418,100003.15418,BuySell,90,,,BuySell,90,,,DataTrades,90,,
91,10dORHV,91,2010-05-13 00:00:00,,,,30.99,,,stockpx,91,2010-05-13 00:00:00,,,,29.26,,,HVStrategy,91,733905.0,RSI_Oversold,91,0.0,RSI_Overbought,91,,Broker,91,100002.00319,100002.00319,BuySell,91,,30.99,BuySell,91,,,DataTrades,91,0.5399999999999991,
92,10dORHV,92,2010-05-14 00:00:00,,,,30.03,,,stockpx,92,2010-05-14 00:00:00,,,,28.89,,,HVStrategy,92,733906.0,RSI_Oversold,92,0.0,RSI_Overbought,92,,Broker,92,100002.00319,100002.00319,BuySell,92,,,BuySell,92,,,DataTrades,92,,
