Id,iv30,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,LRSI,len,lrsi,TSI,len,tsi,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,iv30,stockpx
11,iv30,11,2010-01-19 00:00:00,,,,36.1,,,stockpx,11,2010-01-19 00:00:00,,,,214.97,,,HVStrategy,11,733791.0,RSI,11,,LRSI,11,1.0,TSI,11,,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,iv30,12,2010-01-20 00:00:00,,,,38.22,,,stockpx,12,2010-01-20 00:00:00,,,,211.94,,,HVStrategy,12,733792.0,RSI,12,,LRSI,12,1.0,TSI,12,,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,iv30,13,2010-01-21 00:00:00,,,,40.1,,,stockpx,13,2010-01-21 00:00:00,,,,207.92,,,HVStrategy,13,733793.0,RSI,13,,LRSI,13,1.0,TSI,13,,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,iv30,14,2010-01-22 00:00:00,,,,47.61,,,stockpx,14,2010-01-22 00:00:00,,,,197.94,,,HVStrategy,14,733794.0,RSI,14,,LRSI,14,1.0,TSI,14,,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,iv30,15,2010-01-25 00:00:00,,,,43.86,,,stockpx,15,2010-01-25 00:00:00,,,,202.8,,,HVStrategy,15,733797.0,RSI,15,65.78115117014548,LRSI,15,1.0,TSI,15,,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,iv30,16,2010-01-26 00:00:00,,,,36.53,,,stockpx,16,2010-01-26 00:00:00,,,,205.87,,,HVStrategy,16,733798.0,RSI,16,52.639775735866685,LRSI,16,0.8586190254469044,TSI,16,,Broker,16,100000.0,100000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,iv30,17,2010-01-27 00:00:00,,,,31.55,,,stockpx,17,2010-01-27 00:00:00,,,,208.27,,,HVStrategy,17,733799.0,RSI,17,45.92679306812718,LRSI,17,0.6838068573907214,TSI,17,,Broker,17,100000.0,100000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,iv30,18,2010-01-28 00:00:00,,,,33.87,,,stockpx,18,2010-01-28 00:00:00,,,,199.22,,,HVStrategy,18,733800.0,RSI,18,49.17836561785424,LRSI,18,0.6311680024923474,TSI,18,,Broker,18,100000.0,100000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,iv30,19,2010-01-29 00:00:00,,,,35.58,,,stockpx,19,2010-01-29 00:00:00,,,,192.66,,,HVStrategy,19,733801.0,RSI,19,51.493641778074064,LRSI,19,0.4837700126536579,TSI,19,,Broker,19,100000.0,100000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,iv30,20,2010-02-01 00:00:00,,,,33.93,,,stockpx,20,2010-02-01 00:00:00,,,,194.58,,,HVStrategy,20,733804.0,RSI,20,49.166125765829776,LRSI,20,0.007883010804313095,TSI,20,,Broker,20,100000.0,100000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,iv30,21,2010-02-02 00:00:00,,,,31.29,,,stockpx,21,2010-02-02 00:00:00,,,,195.7,,,HVStrategy,21,733805.0,RSI,21,45.61359355485869,LRSI,21,0.0,TSI,21,,Broker,21,100000.0,100000.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,iv30,22,2010-02-03 00:00:00,,,,30.23,,,stockpx,22,2010-02-03 00:00:00,,,,199.47,,,HVStrategy,22,733806.0,RSI,22,44.23164538977224,LRSI,22,0.0,TSI,22,,Broker,22,100000.0,100000.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,iv30,23,2010-02-04 00:00:00,,,,34.22,,,stockpx,23,2010-02-04 00:00:00,,,,192.06,,,HVStrategy,23,733807.0,RSI,23,50.33163434490647,LRSI,23,0.016333383615648216,TSI,23,,Broker,23,100000.0,100000.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,iv30,24,2010-02-05 00:00:00,,,,32.23,,,stockpx,24,2010-02-05 00:00:00,,,,195.63,,,HVStrategy,24,733808.0,RSI,24,47.53874460693455,LRSI,24,0.0,TSI,24,,Broker,24,100000.0,100000.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,iv30,25,2010-02-08 00:00:00,,,,33.28,,,stockpx,25,2010-02-08 00:00:00,,,,194.32,,,HVStrategy,25,733811.0,RSI,25,49.14232295307137,LRSI,25,0.054620867831501475,TSI,25,,Broker,25,100000.0,100000.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,iv30,26,2010-02-09 00:00:00,,,,31.7,,,stockpx,26,2010-02-09 00:00:00,,,,196.23,,,HVStrategy,26,733812.0,RSI,26,46.822989897650125,LRSI,26,0.0,TSI,26,,Broker,26,100000.0,100000.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,iv30,27,2010-02-10 00:00:00,,,,31.32,,,stockpx,27,2010-02-10 00:00:00,,,,195.04,,,HVStrategy,27,733813.0,RSI,27,46.25753095454106,LRSI,27,0.0,TSI,27,,Broker,27,100000.0,100000.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,iv30,28,2010-02-11 00:00:00,,,,29.68,,,stockpx,28,2010-02-11 00:00:00,,,,198.78,,,HVStrategy,28,733814.0,RSI,28,43.799131941337535,LRSI,28,0.0,TSI,28,,Broker,28,100000.0,100000.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,iv30,29,2010-02-12 00:00:00,,,,29.0,,,stockpx,29,2010-02-12 00:00:00,,,,200.46,,,HVStrategy,29,733815.0,RSI,29,42.7838206001475,LRSI,29,0.0,TSI,29,,Broker,29,100000.0,100000.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,iv30,30,2010-02-16 00:00:00,,,,28.51,,,stockpx,30,2010-02-16 00:00:00,,,,203.43,,,HVStrategy,30,733819.0,RSI,30,42.02778527249815,LRSI,30,0.0,TSI,30,,Broker,30,100000.0,100000.0,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,iv30,31,2010-02-17 00:00:00,,,,28.07,,,stockpx,31,2010-02-17 00:00:00,,,,202.55,,,HVStrategy,31,733820.0,RSI,31,41.32166030469139,LRSI,31,0.0,TSI,31,,Broker,31,100000.0,100000.0,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,iv30,32,2010-02-18 00:00:00,,,,27.57,,,stockpx,32,2010-02-18 00:00:00,,,,203.04,,,HVStrategy,32,733821.0,RSI,32,40.48915729490022,LRSI,32,0.0,TSI,32,,Broker,32,100000.0,100000.0,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,iv30,33,2010-02-19 00:00:00,,,,27.65,,,stockpx,33,2010-02-19 00:00:00,,,,201.69,,,HVStrategy,33,733822.0,RSI,33,40.695032378396874,LRSI,33,0.0,TSI,33,,Broker,33,100000.0,100000.0,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,iv30,34,2010-02-22 00:00:00,,,,27.64,,,stockpx,34,2010-02-22 00:00:00,,,,200.45,,,HVStrategy,34,733825.0,RSI,34,40.676089691502064,LRSI,34,0.0,TSI,34,,Broker,34,100000.0,100000.0,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,iv30,35,2010-02-23 00:00:00,,,,27.58,,,stockpx,35,2010-02-23 00:00:00,,,,197.03,,,HVStrategy,35,733826.0,RSI,35,40.554114631435745,LRSI,35,0.0,TSI,35,,Broker,35,100000.0,100000.0,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,iv30,36,2010-02-24 00:00:00,,,,25.98,,,stockpx,36,2010-02-24 00:00:00,,,,200.6,,,HVStrategy,36,733827.0,RSI,36,37.33864908092152,LRSI,36,0.0,TSI,36,,Broker,36,100000.0,100000.0,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,iv30,37,2010-02-25 00:00:00,,,,25.88,,,stockpx,37,2010-02-25 00:00:00,,,,202.03,,,HVStrategy,37,733828.0,RSI,37,37.1404413010352,LRSI,37,0.0,TSI,37,,Broker,37,100000.0,100000.0,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,iv30,38,2010-02-26 00:00:00,,,,24.63,,,stockpx,38,2010-02-26 00:00:00,,,,204.68,,,HVStrategy,38,733829.0,RSI,38,34.66342819547056,LRSI,38,0.0,TSI,38,-14.502437709846012,Broker,38,100000.0,100000.0,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,iv30,39,2010-03-01 00:00:00,,,,25.24,,,stockpx,39,2010-03-01 00:00:00,,,,208.89,,,HVStrategy,39,733832.0,RSI,39,36.87591577184023,LRSI,39,0.0,TSI,39,-15.63427938657798,Broker,39,100000.0,100000.0,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,iv30,40,2010-03-02 00:00:00,,,,25.62,,,stockpx,40,2010-03-02 00:00:00,,,,208.1,,,HVStrategy,40,733833.0,RSI,40,38.27809100605825,LRSI,40,0.0,TSI,40,-16.322165344787933,Broker,40,100000.0,100000.0,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,iv30,41,2010-03-03 00:00:00,,,,24.39,,,stockpx,41,2010-03-03 00:00:00,,,,209.39,,,HVStrategy,41,733834.0,RSI,41,35.52719413782519,LRSI,41,0.0,TSI,41,-17.624907366012135,Broker,41,100000.0,100000.0,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,iv30,42,2010-03-04 00:00:00,,,,23.88,,,stockpx,42,2010-03-04 00:00:00,,,,210.32,,,HVStrategy,42,733835.0,RSI,42,34.42256371814551,LRSI,42,0.0,TSI,42,-19.044397267038832,Broker,42,100000.0,100000.0,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,iv30,43,2010-03-05 00:00:00,,,,25.75,,,stockpx,43,2010-03-05 00:00:00,,,,219.21,,,HVStrategy,43,733836.0,RSI,43,41.593463556302595,LRSI,43,0.12116195785759024,TSI,43,-18.601266502230782,Broker,43,100000.0,100000.0,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,iv30,44,2010-03-08 00:00:00,,,,26.07,,,stockpx,44,2010-03-08 00:00:00,,,,219.14,,,HVStrategy,44,733839.0,RSI,44,42.74720624301504,LRSI,44,0.2507802901172617,TSI,44,-17.936130467550566,Broker,44,100000.0,100000.0,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,iv30,45,2010-03-09 00:00:00,,,,24.46,,,stockpx,45,2010-03-09 00:00:00,,,,223.02,,,HVStrategy,45,733840.0,RSI,45,38.61429396189754,LRSI,45,0.18381908458770835,TSI,45,-18.41719042567747,Broker,45,100000.0,100000.0,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,iv30,46,2010-03-10 00:00:00,,,,27.76,,,stockpx,46,2010-03-10 00:00:00,,,,224.8,,,HVStrategy,46,733841.0,RSI,46,49.4107135037197,LRSI,46,0.6451979596972072,TSI,46,-15.715018407742978,Broker,46,100000.0,100000.0,BuySell,46,,,BuySell,46,,,DataTrades,46,,
47,iv30,47,2010-03-11 00:00:00,,,,27.33,,,stockpx,47,2010-03-11 00:00:00,,,,225.26,,,HVStrategy,47,733842.0,RSI,47,48.220610902384465,LRSI,47,0.6272129019265978,TSI,47,-13.827262381399235,Broker,47,100000.0,100000.0,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,iv30,48,2010-03-12 00:00:00,,,,26.62,,,stockpx,48,2010-03-12 00:00:00,,,,226.62,,,HVStrategy,48,733843.0,RSI,48,46.240190156546355,LRSI,48,0.7113004861232092,TSI,48,-12.789643688245134,Broker,48,100000.0,100000.0,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,iv30,49,2010-03-15 00:00:00,,,,27.63,,,stockpx,49,2010-03-15 00:00:00,,,,223.9,,,HVStrategy,49,733846.0,RSI,49,49.42241289153044,LRSI,49,1.0,TSI,49,-11.001002035912869,Broker,49,100000.0,100000.0,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,iv30,50,2010-03-16 00:00:00,,,,26.65,,,stockpx,50,2010-03-16 00:00:00,,,,224.49,,,HVStrategy,50,733847.0,RSI,50,46.54354526254159,LRSI,50,1.0,TSI,50,-10.274645773941641,Broker,50,100000.0,100000.0,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,iv30,51,2010-03-17 00:00:00,,,,26.64,,,stockpx,51,2010-03-17 00:00:00,,,,224.29,,,HVStrategy,51,733848.0,RSI,51,46.51377121264744,LRSI,51,0.929606594380564,TSI,51,-9.685219503146481,Broker,51,100000.0,100000.0,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,iv30,52,2010-03-18 00:00:00,,,,25.73,,,stockpx,52,2010-03-18 00:00:00,,,,224.9,,,HVStrategy,52,733849.0,RSI,52,43.76980274653306,LRSI,52,0.6823315643041168,TSI,52,-9.919266938586697,Broker,52,100000.0,100000.0,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,iv30,53,2010-03-19 00:00:00,,,,26.74,,,stockpx,53,2010-03-19 00:00:00,,,,221.89,,,HVStrategy,53,733850.0,RSI,53,47.473541524828484,LRSI,53,0.7363804342245088,TSI,53,-9.117528524325826,Broker,53,100000.0,100000.0,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,iv30,54,2010-03-22 00:00:00,,,,26.12,,,stockpx,54,2010-03-22 00:00:00,,,,225.05,,,HVStrategy,54,733853.0,RSI,54,45.49262253959434,LRSI,54,0.43593208613042506,TSI,54,-8.97226534208965,Broker,54,100000.0,100000.0,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,iv30,55,2010-03-23 00:00:00,,,,26.25,,,stockpx,55,2010-03-23 00:00:00,,,,228.35,,,HVStrategy,55,733854.0,RSI,55,46.001407040316145,LRSI,55,0.26361289871125276,TSI,55,-8.718242511540753,Broker,55,100000.0,100000.0,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,iv30,56,2010-03-24 00:00:00,,,,26.8,,,stockpx,56,2010-03-24 00:00:00,,,,229.82,,,HVStrategy,56,733855.0,RSI,56,48.204216890649015,LRSI,56,0.4033568710542336,TSI,56,-7.926938544107413,Broker,56,100000.0,100000.0,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,iv30,57,2010-03-25 00:00:00,,,,27.64,,,stockpx,57,2010-03-25 00:00:00,,,,226.96,,,HVStrategy,57,733856.0,RSI,57,51.4609847783703,LRSI,57,0.5836678667066296,TSI,57,-6.365559189932807,Broker,57,100000.0,100000.0,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,iv30,58,2010-03-26 00:00:00,,,,26.68,,,stockpx,58,2010-03-26 00:00:00,,,,230.76,,,HVStrategy,58,733857.0,RSI,58,47.76461575332142,LRSI,58,0.48287836155863323,TSI,58,-5.982276592629797,Broker,58,100000.0,100000.0,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,iv30,59,2010-03-29 00:00:00,,,,27.46,,,stockpx,59,2010-03-29 00:00:00,,,,232.26,,,HVStrategy,59,733860.0,RSI,59,50.853474861699056,LRSI,59,1.0,TSI,59,-4.807755854840616,Broker,59,100000.0,100000.0,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,iv30,60,2010-03-30 00:00:00,,,,26.97,,,stockpx,60,2010-03-30 00:00:00,,,,236.01,,,HVStrategy,60,733861.0,RSI,60,48.897314414700816,LRSI,60,0.9950459335505952,TSI,60,-4.331640452140201,Broker,60,100000.0,100000.0,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,iv30,61,2010-03-31 00:00:00,,,,27.82,,,stockpx,61,2010-03-31 00:00:00,,,,234.81,,,HVStrategy,61,733862.0,RSI,61,52.32338849939032,LRSI,61,1.0,TSI,61,-2.976673706480734,Broker,61,100000.0,100000.0,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,iv30,62,2010-04-01 00:00:00,,,,27.84,,,stockpx,62,2010-04-01 00:00:00,,,,235.15,,,HVStrategy,62,733863.0,RSI,62,52.4042453824714,LRSI,62,1.0,TSI,62,-1.8285138428875924,Broker,62,100000.0,100000.0,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,iv30,63,2010-04-05 00:00:00,,,,28.58,,,stockpx,63,2010-04-05 00:00:00,,,,237.97,,,HVStrategy,63,733867.0,RSI,63,55.41702306845033,LRSI,63,1.0,TSI,63,-0.009339092828462042,Broker,63,100000.0,100000.0,BuySell,63,,,BuySell,63,,,DataTrades,63,,
64,iv30,64,2010-04-06 00:00:00,,,,26.81,,,stockpx,64,2010-04-06 00:00:00,,,,239.24,,,HVStrategy,64,733868.0,RSI,64,47.647948252914276,LRSI,64,0.6555183678493232,TSI,64,-0.562250564533936,Broker,64,100000.0,100000.0,BuySell,64,,,BuySell,64,,,DataTrades,64,,
65,iv30,65,2010-04-07 00:00:00,,,,27.74,,,stockpx,65,2010-04-07 00:00:00,,,,240.32,,,HVStrategy,65,733869.0,RSI,65,51.495648074604844,LRSI,65,0.9804344577996763,TSI,65,0.08215840470462575,Broker,65,100000.0,100000.0,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,iv30,66,2010-04-08 00:00:00,,,,27.76,,,stockpx,66,2010-04-08 00:00:00,,,,240.24,,,HVStrategy,66,733870.0,RSI,66,51.57806972467102,LRSI,66,1.0,TSI,66,0.6298306361565346,Broker,66,100000.0,100000.0,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,iv30,67,2010-04-09 00:00:00,,,,25.72,,,stockpx,67,2010-04-09 00:00:00,,,,241.66,,,HVStrategy,67,733871.0,RSI,67,43.46500111436678,LRSI,67,0.373074668780255,TSI,67,-1.3695439532612173,Broker,67,100000.0,100000.0,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,iv30,68,2010-04-12 00:00:00,,,,27.06,,,stockpx,68,2010-04-12 00:00:00,,,,242.3,,,HVStrategy,68,733874.0,RSI,68,49.125791148480175,LRSI,68,0.5016943197518702,TSI,68,-1.3382563163606298,Broker,68,100000.0,100000.0,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,iv30,69,2010-04-13 00:00:00,,,,28.42,,,stockpx,69,2010-04-13 00:00:00,,,,242.47,,,HVStrategy,69,733875.0,RSI,69,54.14426963906745,LRSI,69,0.522037227266135,TSI,69,0.305309887512419,Broker,69,100000.0,100000.0,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,iv30,70,2010-04-14 00:00:00,,,,27.71,,,stockpx,70,2010-04-14 00:00:00,,,,245.56,,,HVStrategy,70,733876.0,RSI,70,51.29922350148194,LRSI,70,0.3364022308027963,TSI,70,0.7567088079726277,Broker,70,100000.0,100000.0,BuySell,70,,,BuySell,70,,,DataTrades,70,,
71,iv30,71,2010-04-15 00:00:00,,,,28.78,,,stockpx,71,2010-04-15 00:00:00,,,,248.75,,,HVStrategy,71,733877.0,RSI,71,55.12606991924779,LRSI,71,0.6788155295618389,TSI,71,2.3480518422024947,Broker,71,100000.0,100000.0,BuySell,71,,,BuySell,71,,,DataTrades,71,,
72,iv30,72,2010-04-16 00:00:00,,,,30.72,,,stockpx,72,2010-04-16 00:00:00,,,,247.46,,,HVStrategy,72,733878.0,RSI,72,61.09519912710073,LRSI,72,0.8805690776125843,TSI,72,5.75676876281353,Broker,72,100000.0,100000.0,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,iv30,73,2010-04-19 00:00:00,,,,30.79,,,stockpx,73,2010-04-19 00:00:00,,,,246.84,,,HVStrategy,73,733881.0,RSI,73,61.29525993644322,LRSI,73,0.8014259225716381,TSI,73,8.484616364573537,Broker,73,100000.0,100000.0,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,iv30,74,2010-04-20 00:00:00,,,,31.54,,,stockpx,74,2010-04-20 00:00:00,,,,245.22,,,HVStrategy,74,733882.0,RSI,74,63.46315272726812,LRSI,74,0.9880334969713682,TSI,74,11.428937166160107,Broker,74,100000.0,100000.0,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,iv30,75,2010-04-21 00:00:00,,,,22.57,,,stockpx,75,2010-04-21 00:00:00,,,,259.52,,,HVStrategy,75,733883.0,RSI,75,36.86669797125213,LRSI,75,0.4738016048216742,TSI,75,3.0588862127501755,Broker,75,100000.0,100000.0,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,iv30,76,2010-04-22 00:00:00,,,,25.15,,,stockpx,76,2010-04-22 00:00:00,,,,266.09,,,HVStrategy,76,733884.0,RSI,76,44.120512802512934,LRSI,76,0.5571436220515573,TSI,76,-0.12054198863156369,Broker,76,100000.0,100000.0,BuySell,76,,,BuySell,76,,,DataTrades,76,,
77,iv30,77,2010-04-23 00:00:00,,,,25.01,,,stockpx,77,2010-04-23 00:00:00,,,,270.76,,,HVStrategy,77,733885.0,RSI,77,43.826250054814565,LRSI,77,0.4015016612304366,TSI,77,-2.462878372342371,Broker,77,100000.0,100000.0,BuySell,77,,,BuySell,77,,,DataTrades,77,,
78,iv30,78,2010-04-26 00:00:00,,,,27.67,,,stockpx,78,2010-04-26 00:00:00,,,,269.19,,,HVStrategy,78,733888.0,RSI,78,50.57166950530275,LRSI,78,0.2670431096147647,TSI,78,-1.7436771110598708,Broker,78,100000.0,100000.0,BuySell,78,,,BuySell,78,,,DataTrades,78,,
79,iv30,79,2010-04-27 00:00:00,,,,29.41,,,stockpx,79,2010-04-27 00:00:00,,,,260.95,,,HVStrategy,79,733889.0,RSI,79,54.42678592252386,LRSI,79,0.31949003891025474,TSI,79,0.2675945367772968,Broker,79,100000.0,100000.0,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,iv30,80,2010-04-28 00:00:00,,,,28.89,,,stockpx,80,2010-04-28 00:00:00,,,,260.86,,,HVStrategy,80,733890.0,RSI,80,53.09404375846345,LRSI,80,0.32064755359383074,TSI,80,1.3259176197984521,Broker,80,100000.0,100000.0,BuySell,80,,,BuySell,80,,,DataTrades,80,,
81,iv30,81,2010-04-29 00:00:00,,,,28.42,,,stockpx,81,2010-04-29 00:00:00,,,,269.14,,,HVStrategy,81,733891.0,RSI,81,51.85801511032078,LRSI,81,0.46365091242615175,TSI,81,1.745226791071809,Broker,81,100000.0,100000.0,BuySell,81,,,BuySell,81,,,DataTrades,81,,
82,iv30,82,2010-04-30 00:00:00,,,,32.11,,,stockpx,82,2010-04-30 00:00:00,,,,261.71,,,HVStrategy,82,733892.0,RSI,82,59.7754898880222,LRSI,82,0.9956714010974208,TSI,82,4.920936704263157,Broker,82,100000.0,100000.0,BuySell,82,,,BuySell,82,,,DataTrades,82,,
83,iv30,83,2010-05-03 00:00:00,,,,30.5,,,stockpx,83,2010-05-03 00:00:00,,,,266.25,,,HVStrategy,83,733895.0,RSI,83,55.48760727680346,LRSI,83,0.7823488887280463,TSI,83,6.005097922098586,Broker,83,100000.0,100000.0,BuySell,83,,,BuySell,83,,,DataTrades,83,,
84,iv30,84,2010-05-04 00:00:00,,,,33.8,,,stockpx,84,2010-05-04 00:00:00,,,,258.62,,,HVStrategy,84,733896.0,RSI,84,61.572278599726104,LRSI,84,1.0,TSI,84,9.126893625709808,Broker,84,100000.0,100000.0,BuySell,84,,,BuySell,84,,,DataTrades,84,,
85,iv30,85,2010-05-05 00:00:00,,,,35.41,,,stockpx,85,2010-05-05 00:00:00,,,,255.64,,,HVStrategy,85,733897.0,RSI,85,64.14726585614207,LRSI,85,1.0,TSI,85,12.518809011995454,Broker,85,100000.0,100000.0,BuySell,85,,,BuySell,85,,,DataTrades,85,,
86,iv30,86,2010-05-06 00:00:00,,,,34.97,,,stockpx,86,2010-05-06 00:00:00,,,,255.21,,,HVStrategy,86,733898.0,RSI,86,62.906646736277544,LRSI,86,1.0,TSI,86,14.746602718992651,Broker,86,100000.0,100000.0,BuySell,86,,,BuySell,86,,,DataTrades,86,,
87,iv30,87,2010-05-07 00:00:00,,,,42.17,,,stockpx,87,2010-05-07 00:00:00,,,,235.1,,,HVStrategy,87,733899.0,RSI,87,72.33531818668021,LRSI,87,1.0,TSI,87,20.59404479131752,Broker,87,100000.0,100000.0,BuySell,87,,,BuySell,87,,,DataTrades,87,,
88,iv30,88,2010-05-10 00:00:00,,,,39.28,,,stockpx,88,2010-05-10 00:00:00,,,,253.16,,,HVStrategy,88,733902.0,RSI,88,65.17421033449335,LRSI,88,0.998276810449726,TSI,88,22.52933518771589,Broker,88,100039.28,100000.0,BuySell,88,,39.28,BuySell,88,,,DataTrades,88,,
