Id,10dORHV,len,datetime,open,high,low,close,volume,openinterest,stockpx,len,datetime,open,high,low,close,volume,openinterest,HVStrategy,len,datetime,RSI,len,rsi,rsi_OB_70,rsi_OS_30,LRSI,len,lrsi,lrsi_OB_07,lrsi_OS_03,TSI,len,tsi,tsi_pos,tsi_neg,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,10dORHV,stockpx
33,10dORHV,33,2/19/10 0:00,,,,17.9,,,stockpx,33,2/19/10 0:00,,,,201.69,,,HVStrategy,33,733822,RSI,33,48.26972577,0,0,LRSI,33,1,1,0,TSI,33,,,,Broker,33,100000,100000,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,10dORHV,34,2/22/10 0:00,,,,17.1,,,stockpx,34,2/22/10 0:00,,,,200.45,,,HVStrategy,34,733825,RSI,34,46.68662334,0,0,LRSI,34,0.907281021,1,0,TSI,34,,,,Broker,34,100000,100000,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,10dORHV,35,2/23/10 0:00,,,,18.07,,,stockpx,35,2/23/10 0:00,,,,197.03,,,HVStrategy,35,733826,RSI,35,42.54238155,0,0,LRSI,35,0.662018051,0,0,TSI,35,,,,Broker,35,100000,100000,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,10dORHV,36,2/24/10 0:00,,,,18.08,,,stockpx,36,2/24/10 0:00,,,,200.6,,,HVStrategy,36,733827,RSI,36,47.75574448,0,0,LRSI,36,0.697149904,0,0,TSI,36,,,,Broker,36,100000,100000,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,10dORHV,37,2/25/10 0:00,,,,20.61,,,stockpx,37,2/25/10 0:00,,,,202.03,,,HVStrategy,37,733828,RSI,37,49.723573,0,0,LRSI,37,0.60728692,0,0,TSI,37,,,,Broker,37,100000,100000,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,10dORHV,38,2/26/10 0:00,,,,19.85,,,stockpx,38,2/26/10 0:00,,,,204.68,,,HVStrategy,38,733829,RSI,38,53.23861554,0,0,LRSI,38,0.64078863,0,0,TSI,38,-7.738158937,0,1,Broker,38,100000,100000,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,10dORHV,39,3/1/10 0:00,,,,19.97,,,stockpx,39,3/1/10 0:00,,,,208.89,,,HVStrategy,39,733832,RSI,39,58.23442174,0,0,LRSI,39,0.759761471,1,0,TSI,39,-4.401515675,0,1,Broker,39,100000,100000,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,10dORHV,40,3/2/10 0:00,,,,19.97,,,stockpx,40,3/2/10 0:00,,,,208.1,,,HVStrategy,40,733833,RSI,40,57.00372476,0,0,LRSI,40,0.735057573,1,0,TSI,40,-1.965207489,0,1,Broker,40,100000,100000,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,10dORHV,41,3/3/10 0:00,,,,19.19,,,stockpx,41,3/3/10 0:00,,,,209.39,,,HVStrategy,41,733834,RSI,41,58.54436844,0,0,LRSI,41,0.98188151,1,0,TSI,41,0.534262934,1,0,Broker,41,100000,100000,BuySell,41,,,BuySell,41,,,DataTrades,41,,
42,10dORHV,42,3/4/10 0:00,,,,18.39,,,stockpx,42,3/4/10 0:00,,,,210.32,,,HVStrategy,42,733835,RSI,42,59.66642817,0,0,LRSI,42,1,1,0,TSI,42,2.959857237,1,0,Broker,42,100000,100000,BuySell,42,,,BuySell,42,,,DataTrades,42,,
43,10dORHV,43,3/5/10 0:00,,,,20.99,,,stockpx,43,3/5/10 0:00,,,,219.21,,,HVStrategy,43,733836,RSI,43,68.45576229,0,0,LRSI,43,1,1,0,TSI,43,8.2489813,1,0,Broker,43,100000,100000,BuySell,43,,,BuySell,43,,,DataTrades,43,,
44,10dORHV,44,3/8/10 0:00,,,,20.53,,,stockpx,44,3/8/10 0:00,,,,219.14,,,HVStrategy,44,733839,RSI,44,68.3294986,0,0,LRSI,44,1,1,0,TSI,44,12.41664837,1,0,Broker,44,100000,100000,BuySell,44,,,BuySell,44,,,DataTrades,44,,
45,10dORHV,45,3/9/10 0:00,,,,21.09,,,stockpx,45,3/9/10 0:00,,,,223.02,,,HVStrategy,45,733840,RSI,45,71.47058388,1,0,LRSI,45,1,1,0,TSI,45,17.06838063,1,0,Broker,45,100000,100000,BuySell,45,,,BuySell,45,,,DataTrades,45,,
46,10dORHV,46,3/10/10 0:00,,,,20.49,,,stockpx,46,3/10/10 0:00,,,,224.8,,,HVStrategy,46,733841,RSI,46,72.8032307,1,0,LRSI,46,1,1,0,TSI,46,21.35355514,1,0,Broker,46,100020.49,100000,BuySell,46,,20.49,BuySell,46,,,DataTrades,46,,
47,10dORHV,47,3/11/10 0:00,,,,17.66,,,stockpx,47,3/11/10 0:00,,,,225.26,,,HVStrategy,47,733842,RSI,47,73.1522525,1,0,LRSI,47,1,1,0,TSI,47,24.95267703,1,0,Broker,47,100020.49,100002.83,BuySell,47,,,BuySell,47,,,DataTrades,47,,
48,10dORHV,48,3/12/10 0:00,,,,18.57,,,stockpx,48,3/12/10 0:00,,,,226.62,,,HVStrategy,48,733843,RSI,48,74.2061938,1,0,LRSI,48,1,1,0,TSI,48,28.2995175,1,0,Broker,48,100020.49,100001.92,BuySell,48,,,BuySell,48,,,DataTrades,48,,
49,10dORHV,49,3/15/10 0:00,,,,19.08,,,stockpx,49,3/15/10 0:00,,,,223.9,,,HVStrategy,49,733846,RSI,49,68.42106442,0,0,LRSI,49,1,1,0,TSI,49,29.59960292,1,0,Broker,49,100020.49,100001.41,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,10dORHV,50,3/16/10 0:00,,,,18.47,,,stockpx,50,3/16/10 0:00,,,,224.49,,,HVStrategy,50,733847,RSI,50,68.98587171,0,0,LRSI,50,1,1,0,TSI,50,30.8356466,1,0,Broker,50,100020.49,100002.02,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,10dORHV,51,3/17/10 0:00,,,,18.57,,,stockpx,51,3/17/10 0:00,,,,224.29,,,HVStrategy,51,733848,RSI,51,68.53836535,0,0,LRSI,51,1,1,0,TSI,51,31.74686955,1,0,Broker,51,100020.49,100001.92,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,10dORHV,52,3/18/10 0:00,,,,18.77,,,stockpx,52,3/18/10 0:00,,,,224.9,,,HVStrategy,52,733849,RSI,52,69.19473505,0,0,LRSI,52,1,1,0,TSI,52,32.69263951,1,0,Broker,52,100001.72,100001.72,BuySell,52,18.77,,BuySell,52,,,DataTrades,52,1.72,
53,10dORHV,53,3/19/10 0:00,,,,16.37,,,stockpx,53,3/19/10 0:00,,,,221.89,,,HVStrategy,53,733850,RSI,53,62.28914265,0,0,LRSI,53,0.774200777,1,0,TSI,53,31.68010919,1,0,Broker,53,100001.72,100001.72,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,10dORHV,54,3/22/10 0:00,,,,17.86,,,stockpx,54,3/22/10 0:00,,,,225.05,,,HVStrategy,54,733853,RSI,54,66.11271993,0,0,LRSI,54,0.848188138,1,0,TSI,54,31.83669209,1,0,Broker,54,100001.72,100001.72,BuySell,54,,,BuySell,54,,,DataTrades,54,,
55,10dORHV,55,3/23/10 0:00,,,,16.58,,,stockpx,55,3/23/10 0:00,,,,228.35,,,HVStrategy,55,733854,RSI,55,69.58132819,0,0,LRSI,55,0.766871562,1,0,TSI,55,32.99914966,1,0,Broker,55,100001.72,100001.72,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,10dORHV,56,3/24/10 0:00,,,,17.42,,,stockpx,56,3/24/10 0:00,,,,229.82,,,HVStrategy,56,733855,RSI,56,71.00506202,1,0,LRSI,56,0.86531576,1,0,TSI,56,34.39308015,1,0,Broker,56,100001.72,100001.72,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,10dORHV,57,3/25/10 0:00,,,,19.02,,,stockpx,57,3/25/10 0:00,,,,226.96,,,HVStrategy,57,733856,RSI,57,64.66370076,0,0,LRSI,57,0.726089063,1,0,TSI,57,33.71534764,1,0,Broker,57,100020.74,100001.72,BuySell,57,,19.02,BuySell,57,,,DataTrades,57,,
58,10dORHV,58,3/26/10 0:00,,,,18.63,,,stockpx,58,3/26/10 0:00,,,,230.76,,,HVStrategy,58,733857,RSI,58,68.66764867,0,0,LRSI,58,1,1,0,TSI,58,34.35293592,1,0,Broker,58,100020.74,100002.11,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,10dORHV,59,3/29/10 0:00,,,,17.48,,,stockpx,59,3/29/10 0:00,,,,232.26,,,HVStrategy,59,733860,RSI,59,70.10751356,1,0,LRSI,59,1,1,0,TSI,59,35.31797034,1,0,Broker,59,100020.74,100003.26,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,10dORHV,60,3/30/10 0:00,,,,18.94,,,stockpx,60,3/30/10 0:00,,,,236.01,,,HVStrategy,60,733861,RSI,60,73.39872577,1,0,LRSI,60,1,1,0,TSI,60,37.20868473,1,0,Broker,60,100020.74,100001.8,BuySell,60,,,BuySell,60,,,DataTrades,60,,
61,10dORHV,61,3/31/10 0:00,,,,18.86,,,stockpx,61,3/31/10 0:00,,,,234.81,,,HVStrategy,61,733862,RSI,61,70.71558389,1,0,LRSI,61,1,1,0,TSI,61,37.93213757,1,0,Broker,61,100020.74,100001.88,BuySell,61,,,BuySell,61,,,DataTrades,61,,
62,10dORHV,62,4/1/10 0:00,,,,20.07,,,stockpx,62,4/1/10 0:00,,,,235.15,,,HVStrategy,62,733863,RSI,62,71.03862416,1,0,LRSI,62,1,1,0,TSI,62,38.61111142,1,0,Broker,62,100020.74,100000.67,BuySell,62,,,BuySell,62,,,DataTrades,62,,
63,10dORHV,63,4/5/10 0:00,,,,20.34,,,stockpx,63,4/5/10 0:00,,,,237.97,,,HVStrategy,63,733867,RSI,63,73.63628025,1,0,LRSI,63,1,1,0,TSI,63,39.97856404,1,0,Broker,63,100000.4,100000.4,BuySell,63,20.34,,BuySell,63,,,DataTrades,63,-1.32,
64,10dORHV,64,4/6/10 0:00,,,,19.02,,,stockpx,64,4/6/10 0:00,,,,239.24,,,HVStrategy,64,733868,RSI,64,74.73532524,1,0,LRSI,64,1,1,0,TSI,64,41.44336673,1,0,Broker,64,100019.42,100000.4,BuySell,64,,19.02,BuySell,64,,,DataTrades,64,,
65,10dORHV,65,4/7/10 0:00,,,,18.4,,,stockpx,65,4/7/10 0:00,,,,240.32,,,HVStrategy,65,733869,RSI,65,75.6644101,1,0,LRSI,65,1,1,0,TSI,65,42.93744825,1,0,Broker,65,100019.42,100001.02,BuySell,65,,,BuySell,65,,,DataTrades,65,,
66,10dORHV,66,4/8/10 0:00,,,,18.34,,,stockpx,66,4/8/10 0:00,,,,240.24,,,HVStrategy,66,733870,RSI,66,75.44309447,1,0,LRSI,66,1,1,0,TSI,66,44.10579928,1,0,Broker,66,100019.42,100001.08,BuySell,66,,,BuySell,66,,,DataTrades,66,,
67,10dORHV,67,4/9/10 0:00,,,,16.76,,,stockpx,67,4/9/10 0:00,,,,241.66,,,HVStrategy,67,733871,RSI,67,76.74341214,1,0,LRSI,67,1,1,0,TSI,67,45.47400437,1,0,Broker,67,100019.42,100002.66,BuySell,67,,,BuySell,67,,,DataTrades,67,,
68,10dORHV,68,4/12/10 0:00,,,,15.43,,,stockpx,68,4/12/10 0:00,,,,242.3,,,HVStrategy,68,733874,RSI,68,77.32615546,1,0,LRSI,68,1,1,0,TSI,68,46.79029357,1,0,Broker,68,100019.42,100003.99,BuySell,68,,,BuySell,68,,,DataTrades,68,,
69,10dORHV,69,4/13/10 0:00,,,,14.83,,,stockpx,69,4/13/10 0:00,,,,242.47,,,HVStrategy,69,733875,RSI,69,77.48752007,1,0,LRSI,69,1,1,0,TSI,69,47.94063909,1,0,Broker,69,100019.42,100004.59,BuySell,69,,,BuySell,69,,,DataTrades,69,,
70,10dORHV,70,4/14/10 0:00,,,,13.97,,,stockpx,70,4/14/10 0:00,,,,245.56,,,HVStrategy,70,733876,RSI,70,80.24022326,1,0,LRSI,70,1,1,0,TSI,70,49.77814442,1,0,Broker,70,100005.45,100005.45,BuySell,70,13.97,,BuySell,70,,,DataTrades,70,5.05,
71,10dORHV,71,4/15/10 0:00,,,,14.79,,,stockpx,71,4/15/10 0:00,,,,248.75,,,HVStrategy,71,733877,RSI,71,82.60493875,1,0,LRSI,71,1,1,0,TSI,71,52.15885854,1,0,Broker,71,100020.24,100005.45,BuySell,71,,14.79,BuySell,71,,,DataTrades,71,,
72,10dORHV,72,4/16/10 0:00,,,,15.28,,,stockpx,72,4/16/10 0:00,,,,247.46,,,HVStrategy,72,733878,RSI,72,78.51306249,1,0,LRSI,72,1,1,0,TSI,72,52.98491236,1,0,Broker,72,100020.24,100004.96,BuySell,72,,,BuySell,72,,,DataTrades,72,,
73,10dORHV,73,4/19/10 0:00,,,,17.19,,,stockpx,73,4/19/10 0:00,,,,246.84,,,HVStrategy,73,733881,RSI,73,76.55037805,1,0,LRSI,73,1,1,0,TSI,73,53.11832181,1,0,Broker,73,100020.24,100003.05,BuySell,73,,,BuySell,73,,,DataTrades,73,,
74,10dORHV,74,4/20/10 0:00,,,,18.75,,,stockpx,74,4/20/10 0:00,,,,245.22,,,HVStrategy,74,733882,RSI,74,71.51952975,1,0,LRSI,74,0.96662409,1,0,TSI,74,51.79746177,1,0,Broker,74,100020.24,100001.49,BuySell,74,,,BuySell,74,,,DataTrades,74,,
75,10dORHV,75,4/21/10 0:00,,,,34.31,,,stockpx,75,4/21/10 0:00,,,,259.52,,,HVStrategy,75,733883,RSI,75,82.47075635,1,0,LRSI,75,0.8578603,1,0,TSI,75,54.54641557,1,0,Broker,75,100020.24,99985.93,BuySell,75,,,BuySell,75,,,DataTrades,75,,
76,10dORHV,76,4/22/10 0:00,,,,34.9,,,stockpx,76,4/22/10 0:00,,,,266.09,,,HVStrategy,76,733884,RSI,76,85.27266402,1,0,LRSI,76,1,1,0,TSI,76,57.98653558,1,0,Broker,76,100020.24,99985.34,BuySell,76,,,BuySell,76,,,DataTrades,76,,
77,10dORHV,77,4/23/10 0:00,,,,35.25,,,stockpx,77,4/23/10 0:00,,,,270.76,,,HVStrategy,77,733885,RSI,77,86.87820069,1,0,LRSI,77,0.905038794,1,0,TSI,77,61.3179674,1,0,Broker,77,99984.99,99984.99,BuySell,77,35.25,,BuySell,77,,,DataTrades,77,-20.46,
78,10dORHV,78,4/26/10 0:00,,,,35.63,,,stockpx,78,4/26/10 0:00,,,,269.19,,,HVStrategy,78,733888,RSI,78,83.57935132,1,0,LRSI,78,0.967246089,1,0,TSI,78,62.53051939,1,0,Broker,78,100020.62,99984.99,BuySell,78,,35.63,BuySell,78,,,DataTrades,78,,
79,10dORHV,79,4/27/10 0:00,,,,36.31,,,stockpx,79,4/27/10 0:00,,,,260.95,,,HVStrategy,79,733889,RSI,79,68.81128658,0,0,LRSI,79,1,1,0,TSI,79,57.60958068,1,0,Broker,79,100020.62,99984.31,BuySell,79,,,BuySell,79,,,DataTrades,79,,
80,10dORHV,80,4/28/10 0:00,,,,36.9,,,stockpx,80,4/28/10 0:00,,,,260.86,,,HVStrategy,80,733890,RSI,80,68.66856733,0,0,LRSI,80,0.929066612,1,0,TSI,80,53.9995157,1,0,Broker,80,100020.62,99983.72,BuySell,80,,,BuySell,80,,,DataTrades,80,,
81,10dORHV,81,4/29/10 0:00,,,,37.33,,,stockpx,81,4/29/10 0:00,,,,269.14,,,HVStrategy,81,733891,RSI,81,74.0094278,1,0,LRSI,81,1,1,0,TSI,81,52.8849075,1,0,Broker,81,100020.62,99983.29,BuySell,81,,,BuySell,81,,,DataTrades,81,,
82,10dORHV,82,4/30/10 0:00,,,,37.35,,,stockpx,82,4/30/10 0:00,,,,261.71,,,HVStrategy,82,733892,RSI,82,63.54210253,0,0,LRSI,82,0.924146214,1,0,TSI,82,47.80893465,1,0,Broker,82,100020.62,99983.27,BuySell,82,,,BuySell,82,,,DataTrades,82,,
83,10dORHV,83,5/3/10 0:00,,,,36.71,,,stockpx,83,5/3/10 0:00,,,,266.25,,,HVStrategy,83,733895,RSI,83,66.64626779,0,0,LRSI,83,1,1,0,TSI,83,45.03292976,1,0,Broker,83,100020.62,99983.91,BuySell,83,,,BuySell,83,,,DataTrades,83,,
84,10dORHV,84,5/4/10 0:00,,,,36.88,,,stockpx,84,5/4/10 0:00,,,,258.62,,,HVStrategy,84,733896,RSI,84,57.7473243,0,0,LRSI,84,0.633540519,0,0,TSI,84,39.26376905,1,0,Broker,84,99983.74,99983.74,BuySell,84,36.88,,BuySell,84,,,DataTrades,84,-1.25,
85,10dORHV,85,5/5/10 0:00,,,,30.4,,,stockpx,85,5/5/10 0:00,,,,255.64,,,HVStrategy,85,733897,RSI,85,54.67660201,0,0,LRSI,85,0.475703916,0,0,TSI,85,33.72623118,1,0,Broker,85,99983.74,99983.74,BuySell,85,,,BuySell,85,,,DataTrades,85,,
86,10dORHV,86,5/6/10 0:00,,,,35.81,,,stockpx,86,5/6/10 0:00,,,,255.21,,,HVStrategy,86,733898,RSI,86,54.22850384,0,0,LRSI,86,0.362470771,0,0,TSI,86,29.40635718,1,0,Broker,86,99983.74,99983.74,BuySell,86,,,BuySell,86,,,DataTrades,86,,
87,10dORHV,87,5/7/10 0:00,,,,40.89,,,stockpx,87,5/7/10 0:00,,,,235.1,,,HVStrategy,87,733899,RSI,87,38.38473491,0,0,LRSI,87,0.093250641,0,1,TSI,87,18.43071222,1,0,Broker,87,99983.74,99983.74,BuySell,87,,,BuySell,87,,,DataTrades,87,,
88,10dORHV,88,5/10/10 0:00,,,,43.06,,,stockpx,88,5/10/10 0:00,,,,253.16,,,HVStrategy,88,733902,RSI,88,51.95941305,0,0,LRSI,88,0.315051355,0,0,TSI,88,15.06779806,1,0,Broker,88,99983.74,99983.74,BuySell,88,,,BuySell,88,,,DataTrades,88,,
89,10dORHV,89,5/11/10 0:00,,,,43.82,,,stockpx,89,5/11/10 0:00,,,,256.65,,,HVStrategy,89,733903,RSI,89,54.06548275,0,0,LRSI,89,0.144691002,0,1,TSI,89,13.55476028,1,0,Broker,89,99983.74,99983.74,BuySell,89,,,BuySell,89,,,DataTrades,89,,
