Id,spx-1950-2018,len,datetime,open,high,low,close,volume,openinterest,RegimeSwitchingStrategy,len,datetime,MACD,len,macd,signal,CrossOver,len,crossover,CrossDown,len,cross,ATR,len,atr,SMA,len,sma,SimpleMovingAverage,len,sma,StdDev,len,stddev,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
23,spx-1950-2018,23,2016-02-04 23:59:59.999989,1911.67,1927.35,1900.52,1915.45,5193320000.0,0.0,RegimeSwitchingStrategy,23,735998.9999999999,MACD,23,,,CrossOver,23,,CrossDown,23,,ATR,23,40.682624927047385,SMA,23,,SimpleMovingAverage,23,1899.0913333333333,StdDev,23,23.539440623962932,Broker,23,100000.0,100000.0,BuySell,23,,,Trades,23,,
24,spx-1950-2018,24,2016-02-05 23:59:59.999989,1913.07,1913.07,1872.65,1880.05,4929940000.0,0.0,RegimeSwitchingStrategy,24,735999.9999999999,MACD,24,,,CrossOver,24,,CrossDown,24,,ATR,24,40.83386600368686,SMA,24,,SimpleMovingAverage,24,1896.3053333333335,StdDev,24,23.151994260138434,Broker,24,100000.0,100000.0,BuySell,24,,,Trades,24,,
25,spx-1950-2018,25,2016-02-08 23:59:59.999989,1873.25,1873.25,1828.46,1853.44,5636460000.0,0.0,RegimeSwitchingStrategy,25,736002.9999999999,MACD,25,,,CrossOver,25,,CrossDown,25,,ATR,25,41.60216128913779,SMA,25,,SimpleMovingAverage,25,1894.5126666666665,StdDev,25,25.26426104643614,Broker,25,100000.0,100000.0,BuySell,25,,,Trades,25,,
26,spx-1950-2018,26,2016-02-09 23:59:59.999989,1848.46,1868.25,1834.94,1852.21,5183220000.0,0.0,RegimeSwitchingStrategy,26,736003.9999999999,MACD,26,-19.38911938754495,,CrossOver,26,,CrossDown,26,,ATR,26,41.00986405419937,SMA,26,,SimpleMovingAverage,26,1892.5713333333333,StdDev,26,27.2438917598448,Broker,26,100000.0,100000.0,BuySell,26,,,Trades,26,,
27,spx-1950-2018,27,2016-02-10 23:59:59.999989,1857.1,1881.6,1850.32,1851.86,4471170000.0,0.0,RegimeSwitchingStrategy,27,736004.9999999999,MACD,27,-21.195847020668452,,CrossOver,27,,CrossDown,27,,ATR,27,40.3148737646137,SMA,27,,SimpleMovingAverage,27,1892.0733333333333,StdDev,27,27.907168652913946,Broker,27,100000.0,100000.0,BuySell,27,,,Trades,27,,
28,spx-1950-2018,28,2016-02-11 23:59:59.999989,1847.0,1847.0,1810.1,1829.08,5500800000.0,0.0,RegimeSwitchingStrategy,28,736005.9999999999,MACD,28,-24.18703423156967,,CrossOver,28,,CrossDown,28,,ATR,28,40.4180970671413,SMA,28,,SimpleMovingAverage,28,1889.4126666666666,StdDev,28,31.634668212092553,Broker,28,100000.0,100000.0,BuySell,28,,,Trades,28,,
29,spx-1950-2018,29,2016-02-12 23:59:59.999989,1833.4,1864.78,1833.4,1864.78,4696920000.0,0.0,RegimeSwitchingStrategy,29,736006.9999999999,MACD,29,-23.407058009551292,,CrossOver,29,,CrossDown,29,,ATR,29,40.08109013377407,SMA,29,,SimpleMovingAverage,29,1886.6046666666666,StdDev,29,31.826584247906446,Broker,29,100000.0,100000.0,BuySell,29,,,Trades,29,,
30,spx-1950-2018,30,2016-02-16 23:59:59.999989,1871.44,1895.77,1871.44,1895.58,4570670000.0,0.0,RegimeSwitchingStrategy,30,736010.9999999999,MACD,30,-20.07223837110905,,CrossOver,30,,CrossDown,30,,ATR,30,39.43172655279021,SMA,30,1905.025,SimpleMovingAverage,30,1887.838,StdDev,30,31.792024828037654,Broker,30,100000.0,100000.0,BuySell,30,,,Trades,30,,
31,spx-1950-2018,31,2016-02-17 23:59:59.999989,1898.8,1930.68,1898.8,1926.82,5011540000.0,0.0,RegimeSwitchingStrategy,31,736011.9999999999,MACD,31,-14.738664712829632,,CrossOver,31,,CrossDown,31,,ATR,31,39.122317513305205,SMA,31,1902.1636666666666,SimpleMovingAverage,31,1889.3839999999998,StdDev,31,33.060903355285404,Broker,31,100000.0,100000.0,BuySell,31,,,Trades,31,,
32,spx-1950-2018,32,2016-02-18 23:59:59.999989,1927.57,1930.0,1915.09,1917.83,4436490000.0,0.0,RegimeSwitchingStrategy,32,736012.9999999999,MACD,32,-11.109127918304921,,CrossOver,32,,CrossDown,32,,ATR,32,37.392866262354836,SMA,32,1898.8676666666665,SimpleMovingAverage,32,1891.7093333333332,StdDev,32,33.746131524800234,Broker,32,100000.0,100000.0,BuySell,32,,,Trades,32,,
