Id,spx-2013-2018,len,datetime,open,high,low,close,volume,openinterest,MeanReversionStrategy,len,datetime,SimpleMovingAverage,len,sma,Broker,len,cash,value,BuySell,len,buy,sell,Trades,len,pnlplus,pnlminus
85,spx-2013-2018,85,2013-06-12 23:59:59.999989,1629.94,1637.71,1610.92,1612.52,3202550000.0,0.0,MeanReversionStrategy,85,735031.9999999999,SimpleMovingAverage,85,,Broker,85,100000.0,100000.0,BuySell,85,,,Trades,85,,
86,spx-2013-2018,86,2013-06-13 23:59:59.999989,1612.15,1639.25,1608.07,1636.36,3378620000.0,0.0,MeanReversionStrategy,86,735032.9999999999,SimpleMovingAverage,86,,Broker,86,100000.0,100000.0,BuySell,86,,,Trades,86,,
87,spx-2013-2018,87,2013-06-14 23:59:59.999989,1635.52,1640.8,1623.96,1626.73,2939400000.0,0.0,MeanReversionStrategy,87,735033.9999999999,SimpleMovingAverage,87,,Broker,87,100000.0,100000.0,BuySell,87,,,Trades,87,,
88,spx-2013-2018,88,2013-06-17 23:59:59.999989,1630.64,1646.5,1630.34,1639.04,3137080000.0,0.0,MeanReversionStrategy,88,735036.9999999999,SimpleMovingAverage,88,,Broker,88,100000.0,100000.0,BuySell,88,,,Trades,88,,
89,spx-2013-2018,89,2013-06-18 23:59:59.999989,1639.77,1654.19,1639.77,1651.81,3120980000.0,0.0,MeanReversionStrategy,89,735037.9999999999,SimpleMovingAverage,89,,Broker,89,100000.0,100000.0,BuySell,89,,,Trades,89,,
90,spx-2013-2018,90,2013-06-19 23:59:59.999989,1651.83,1652.45,1628.91,1628.93,3545060000.0,0.0,MeanReversionStrategy,90,735038.9999999999,SimpleMovingAverage,90,,Broker,90,100000.0,100000.0,BuySell,90,,,Trades,90,,
91,spx-2013-2018,91,2013-06-20 23:59:59.999989,1624.62,1624.62,1584.32,1588.19,4858850000.0,0.0,MeanReversionStrategy,91,735039.9999999999,SimpleMovingAverage,91,,Broker,91,100000.0,100000.0,BuySell,91,,,Trades,91,,
92,spx-2013-2018,92,2013-06-21 23:59:59.999989,1588.62,1599.19,1577.7,1592.43,5797280000.0,0.0,MeanReversionStrategy,92,735040.9999999999,SimpleMovingAverage,92,,Broker,92,100000.0,100000.0,BuySell,92,,,Trades,92,,
93,spx-2013-2018,93,2013-06-24 23:59:59.999989,1588.77,1588.77,1560.33,1573.09,4733660000.0,0.0,MeanReversionStrategy,93,735043.9999999999,SimpleMovingAverage,93,,Broker,93,100000.0,100000.0,BuySell,93,,,Trades,93,,
94,spx-2013-2018,94,2013-06-25 23:59:59.999989,1577.52,1593.79,1577.09,1588.03,3761170000.0,0.0,MeanReversionStrategy,94,735044.9999999999,SimpleMovingAverage,94,,Broker,94,100000.0,100000.0,BuySell,94,,,Trades,94,,
