Date,XLY,XLF,XLK,XLE,XLV,XLI,XLP,XLB,XLU,mr_wealth,mo_wealth,mr_wealth_cross,mo_wealth_cross
2012-01-27,37.953121,7.935461999999999,24.198227,61.837952,32.49514,32.214539,27.499503999999998,32.797379,27.960432,672559.5215376065,1299217.0570916953,1743874.8439643953,672072.537020749
2012-01-30,37.843246,7.862455000000001,24.270195,61.543804,32.44978,32.099674,27.320271999999996,32.762096,27.783306,672559.5215376065,1296167.7351177498,1742294.3155066925,672072.537020749
2012-01-31,37.834084000000004,7.89615,24.315178,61.154518,32.477001,32.002491,27.337341,32.797379,27.920177000000002,672559.5215376065,1312853.8660261156,1772485.5283547912,672072.537020749
2012-02-01,37.96228,8.019705,24.558058,61.39674399999999,32.794518,32.347076,27.533641999999997,33.123768,28.016785,672559.5215376065,1319783.5026149773,1770568.4423187743,672072.537020749
2012-02-02,37.916489,8.059018,24.621025,61.863903,32.667503,32.364742,27.636060999999998,32.964996,27.968484999999998,672559.5215376065,1364464.9828197625,1825307.4695344642,672072.537020749
2012-02-03,38.694790000000005,8.278041,24.935875,62.953938,32.858009,32.921387,27.721411,33.414871000000005,28.040940999999997,672559.5215376065,1370727.5188054661,1805748.8834287352,672072.537020749
2012-02-06,38.612381,8.23873,24.944868,63.70656999999999,32.676582,32.841862,27.704338,33.229622,27.920177000000002,672559.5215376065,1368583.1133031405,1794443.8162194092,672072.537020749
2012-02-07,38.795506,8.233115,25.007841,64.035324,32.794518,32.806521999999994,27.729944,33.194340000000004,28.121449,672559.5215376065,1372544.2425000889,1808534.2512964292,672072.537020749
2012-02-08,38.887077000000005,8.294888,25.160760999999997,63.81905,32.794518,32.877205,27.738483000000002,33.229622,28.153646000000002,672559.5215376065,1371098.7102137029,1806420.5820761533,672072.537020749
2012-02-09,38.951172,8.261192,25.403648,63.827721,32.622143,32.965571999999995,27.892113000000002,33.264912,28.073140999999996,672559.5215376065,1341137.5896192407,1771674.198245898,672072.537020749
